Country,Inc_pw_us,TFP_K06_US,Measure,Year
Australia,0.845,0.809,LF,1983
Australia,0.813,0.786,LF,1984
Australia,0.815,0.794,LF,1985
Australia,0.8,0.787,LF,1986
Australia,0.808,0.8,LF,1987
Australia,0.804,0.797,LF,1988
Australia,0.806,0.803,LF,1989
Australia,0.781,0.783,LF,1990
Australia,0.788,0.792,LF,1991
Australia,0.789,0.796,LF,1992
Australia,0.798,0.807,LF,1993
Australia,0.797,0.807,LF,1994
Australia,0.809,0.822,LF,1995
Australia,0.811,0.825,LF,1996
Australia,0.813,0.828,LF,1997
Australia,0.822,0.839,LF,1998
Australia,0.823,0.843,LF,1999
Australia,0.799,0.825,LF,2000
Austria,0.537,0.606,LF,1961
Austria,0.53,0.587,LF,1962
Austria,0.541,0.591,LF,1963
Austria,0.559,0.6,LF,1964
Austria,0.553,0.588,LF,1965
Austria,0.567,0.595,LF,1966
Austria,0.586,0.608,LF,1967
Austria,0.599,0.613,LF,1968
Austria,0.63,0.638,LF,1969
Austria,0.696,0.691,LF,1970
Austria,0.712,0.699,LF,1971
Austria,0.721,0.703,LF,1972
Austria,0.719,0.696,LF,1973
Austria,0.754,0.725,LF,1974
Austria,0.772,0.735,LF,1975
Austria,0.772,0.729,LF,1976
Austria,0.775,0.73,LF,1977
Austria,0.738,0.697,LF,1978
Austria,0.767,0.725,LF,1979
Austria,0.797,0.751,LF,1980
Austria,0.774,0.734,LF,1981
Austria,0.815,0.774,LF,1982
Austria,0.807,0.768,LF,1983
Austria,0.751,0.722,LF,1984
Austria,0.745,0.72,LF,1985
Austria,0.742,0.72,LF,1986
Austria,0.732,0.713,LF,1987
Austria,0.748,0.731,LF,1988
Austria,0.755,0.741,LF,1989
Austria,0.773,0.762,LF,1990
Austria,0.818,0.799,LF,1991
Austria,0.816,0.794,LF,1992
Austria,0.807,0.784,LF,1993
Austria,0.802,0.779,LF,1994
Austria,0.803,0.781,LF,1995
Austria,0.8,0.778,LF,1996
Austria,0.788,0.769,LF,1997
Austria,0.793,0.776,LF,1998
Austria,0.789,0.778,LF,1999
Austria,0.784,0.777,LF,2000
Bangladesh,0.063,0.237,LF,1961
Bangladesh,0.065,0.229,LF,1962
Bangladesh,0.065,0.226,LF,1963
Bangladesh,0.063,0.211,LF,1964
Bangladesh,0.06,0.196,LF,1965
Bangladesh,0.057,0.186,LF,1966
Bangladesh,0.054,0.172,LF,1967
Bangladesh,0.055,0.169,LF,1968
Bangladesh,0.054,0.165,LF,1969
Bangladesh,0.058,0.175,LF,1970
Bangladesh,0.054,0.163,LF,1971
Bangladesh,0.046,0.143,LF,1972
Bangladesh,0.043,0.134,LF,1973
Bangladesh,0.05,0.158,LF,1974
Bangladesh,0.051,0.162,LF,1975
Bangladesh,0.05,0.161,LF,1976
Bangladesh,0.047,0.154,LF,1977
Bangladesh,0.047,0.154,LF,1978
Bangladesh,0.049,0.16,LF,1979
Bangladesh,0.047,0.155,LF,1980
Bangladesh,0.051,0.166,LF,1981
Bangladesh,0.054,0.175,LF,1982
Bangladesh,0.056,0.18,LF,1983
Bangladesh,0.053,0.174,LF,1984
Bangladesh,0.052,0.173,LF,1985
Bangladesh,0.053,0.175,LF,1986
Bangladesh,0.052,0.173,LF,1987
Bangladesh,0.05,0.169,LF,1988
Bangladesh,0.049,0.166,LF,1989
Bangladesh,0.052,0.175,LF,1990
Bangladesh,0.053,0.18,LF,1991
Bangladesh,0.053,0.181,LF,1992
Bangladesh,0.054,0.183,LF,1993
Bangladesh,0.052,0.18,LF,1994
Bangladesh,0.053,0.182,LF,1995
Bangladesh,0.052,0.181,LF,1996
Bangladesh,0.052,0.179,LF,1997
Bangladesh,0.051,0.177,LF,1998
Bangladesh,0.05,0.174,LF,1999
Bangladesh,0.049,0.173,LF,2000
Barbados,0.321,0.395,LF,1961
Barbados,0.319,0.393,LF,1962
Barbados,0.287,0.353,LF,1963
Barbados,0.299,0.369,LF,1964
Barbados,0.316,0.392,LF,1965
Barbados,0.301,0.376,LF,1966
Barbados,0.355,0.442,LF,1967
Barbados,0.358,0.441,LF,1968
Barbados,0.379,0.464,LF,1969
Barbados,0.415,0.499,LF,1970
Barbados,0.424,0.509,LF,1971
Barbados,0.445,0.537,LF,1972
Barbados,0.448,0.545,LF,1973
Barbados,0.428,0.523,LF,1974
Barbados,0.487,0.593,LF,1975
Barbados,0.472,0.569,LF,1976
Barbados,0.468,0.57,LF,1977
Barbados,0.445,0.545,LF,1978
Barbados,0.453,0.557,LF,1979
Barbados,0.487,0.598,LF,1980
Barbados,0.428,0.525,LF,1981
Barbados,0.464,0.569,LF,1982
Barbados,0.439,0.538,LF,1983
Barbados,0.421,0.521,LF,1984
Barbados,0.429,0.537,LF,1985
Barbados,0.473,0.598,LF,1986
Barbados,0.519,0.661,LF,1987
Barbados,0.517,0.663,LF,1988
Barbados,0.512,0.662,LF,1989
Barbados,0.487,0.636,LF,1990
Barbados,0.5,0.662,LF,1991
Barbados,0.507,0.683,LF,1992
Barbados,0.496,0.68,LF,1993
Barbados,0.505,0.704,LF,1994
Barbados,0.501,0.714,LF,1995
Barbados,0.523,0.762,LF,1996
Barbados,0.531,0.793,LF,1997
Barbados,0.522,0.797,LF,1998
Barbados,0.507,0.793,LF,1999
Barbados,0.511,0.82,LF,2000
Belgium,0.708,0.687,LF,1961
Belgium,0.713,0.685,LF,1962
Belgium,0.721,0.688,LF,1963
Belgium,0.744,0.702,LF,1964
Belgium,0.729,0.686,LF,1965
Belgium,0.721,0.676,LF,1966
Belgium,0.742,0.691,LF,1967
Belgium,0.744,0.69,LF,1968
Belgium,0.782,0.721,LF,1969
Belgium,0.844,0.769,LF,1970
Belgium,0.849,0.77,LF,1971
Belgium,0.85,0.77,LF,1972
Belgium,0.858,0.779,LF,1973
Belgium,0.906,0.82,LF,1974
Belgium,0.913,0.821,LF,1975
Belgium,0.918,0.824,LF,1976
Belgium,0.883,0.795,LF,1977
Belgium,0.867,0.785,LF,1978
Belgium,0.868,0.791,LF,1979
Belgium,0.922,0.842,LF,1980
Belgium,0.897,0.827,LF,1981
Belgium,0.934,0.865,LF,1982
Belgium,0.9,0.839,LF,1983
Belgium,0.859,0.811,LF,1984
Belgium,0.852,0.812,LF,1985
Belgium,0.845,0.812,LF,1986
Belgium,0.846,0.817,LF,1987
Belgium,0.859,0.831,LF,1988
Belgium,0.867,0.841,LF,1989
Belgium,0.885,0.856,LF,1990
Belgium,0.919,0.883,LF,1991
Belgium,0.915,0.874,LF,1992
Belgium,0.887,0.847,LF,1993
Belgium,0.884,0.845,LF,1994
Belgium,0.895,0.857,LF,1995
Belgium,0.884,0.848,LF,1996
Belgium,0.888,0.855,LF,1997
Belgium,0.88,0.851,LF,1998
Belgium,0.877,0.853,LF,1999
Belgium,0.879,0.861,LF,2000
Benin,0.064,0.249,LF,1961
Benin,0.058,0.226,LF,1962
Benin,0.057,0.226,LF,1963
Benin,0.058,0.232,LF,1964
Benin,0.057,0.233,LF,1965
Benin,0.056,0.23,LF,1966
Benin,0.054,0.223,LF,1967
Benin,0.053,0.22,LF,1968
Benin,0.052,0.218,LF,1969
Benin,0.053,0.222,LF,1970
Benin,0.051,0.212,LF,1971
Benin,0.05,0.208,LF,1972
Benin,0.049,0.204,LF,1973
Benin,0.049,0.202,LF,1974
Benin,0.047,0.19,LF,1975
Benin,0.045,0.178,LF,1976
Benin,0.045,0.177,LF,1977
Benin,0.043,0.171,LF,1978
Benin,0.043,0.17,LF,1979
Benin,0.045,0.172,LF,1980
Benin,0.048,0.18,LF,1981
Benin,0.048,0.173,LF,1982
Benin,0.048,0.17,LF,1983
Benin,0.049,0.179,LF,1984
Benin,0.053,0.194,LF,1985
Benin,0.05,0.185,LF,1986
Benin,0.046,0.175,LF,1987
Benin,0.044,0.17,LF,1988
Benin,0.04,0.157,LF,1989
Benin,0.038,0.153,LF,1990
Benin,0.04,0.161,LF,1991
Benin,0.04,0.16,LF,1992
Benin,0.04,0.158,LF,1993
Benin,0.041,0.165,LF,1994
Benin,0.039,0.16,LF,1995
Benin,0.04,0.164,LF,1996
Benin,0.04,0.163,LF,1997
Benin,0.039,0.161,LF,1998
Benin,0.039,0.162,LF,1999
Benin,0.039,0.162,LF,2000
Bolivia,0.182,0.344,LF,1961
Bolivia,0.175,0.327,LF,1962
Bolivia,0.18,0.335,LF,1963
Bolivia,0.178,0.33,LF,1964
Bolivia,0.179,0.334,LF,1965
Bolivia,0.179,0.337,LF,1966
Bolivia,0.187,0.355,LF,1967
Bolivia,0.157,0.3,LF,1968
Bolivia,0.156,0.302,LF,1969
Bolivia,0.157,0.305,LF,1970
Bolivia,0.158,0.309,LF,1971
Bolivia,0.157,0.307,LF,1972
Bolivia,0.16,0.317,LF,1973
Bolivia,0.169,0.338,LF,1974
Bolivia,0.182,0.359,LF,1975
Bolivia,0.183,0.361,LF,1976
Bolivia,0.181,0.358,LF,1977
Bolivia,0.177,0.353,LF,1978
Bolivia,0.175,0.354,LF,1979
Bolivia,0.175,0.358,LF,1980
Bolivia,0.171,0.357,LF,1981
Bolivia,0.17,0.362,LF,1982
Bolivia,0.154,0.335,LF,1983
Bolivia,0.142,0.317,LF,1984
Bolivia,0.134,0.304,LF,1985
Bolivia,0.123,0.285,LF,1986
Bolivia,0.119,0.282,LF,1987
Bolivia,0.116,0.278,LF,1988
Bolivia,0.114,0.281,LF,1989
Bolivia,0.115,0.287,LF,1990
Bolivia,0.12,0.299,LF,1991
Bolivia,0.117,0.293,LF,1992
Bolivia,0.118,0.297,LF,1993
Bolivia,0.118,0.3,LF,1994
Bolivia,0.118,0.304,LF,1995
Bolivia,0.117,0.302,LF,1996
Bolivia,0.115,0.296,LF,1997
Bolivia,0.112,0.288,LF,1998
Bolivia,0.11,0.284,LF,1999
Bolivia,0.106,0.277,LF,2000
Botswana,0.076,0.364,LF,1961
Botswana,0.076,0.336,LF,1962
Botswana,0.075,0.311,LF,1963
Botswana,0.074,0.286,LF,1964
Botswana,0.068,0.266,LF,1965
Botswana,0.064,0.235,LF,1966
Botswana,0.075,0.259,LF,1967
Botswana,0.08,0.252,LF,1968
Botswana,0.083,0.258,LF,1969
Botswana,0.081,0.231,LF,1970
Botswana,0.09,0.233,LF,1971
Botswana,0.109,0.26,LF,1972
Botswana,0.125,0.279,LF,1973
Botswana,0.145,0.308,LF,1974
Botswana,0.153,0.314,LF,1975
Botswana,0.171,0.345,LF,1976
Botswana,0.163,0.33,LF,1977
Botswana,0.184,0.371,LF,1978
Botswana,0.197,0.393,LF,1979
Botswana,0.221,0.431,LF,1980
Botswana,0.231,0.444,LF,1981
Botswana,0.234,0.441,LF,1982
Botswana,0.248,0.465,LF,1983
Botswana,0.24,0.45,LF,1984
Botswana,0.248,0.465,LF,1985
Botswana,0.257,0.483,LF,1986
Botswana,0.254,0.473,LF,1987
Botswana,0.266,0.485,LF,1988
Botswana,0.288,0.512,LF,1989
Botswana,0.299,0.519,LF,1990
Botswana,0.323,0.549,LF,1991
Botswana,0.324,0.544,LF,1992
Botswana,0.315,0.524,LF,1993
Botswana,0.31,0.513,LF,1994
Botswana,0.312,0.517,LF,1995
Botswana,0.315,0.52,LF,1996
Botswana,0.323,0.537,LF,1997
Botswana,0.343,0.574,LF,1998
Botswana,0.358,0.607,LF,1999
Botswana,0.371,0.626,LF,2000
Brazil,0.268,0.389,LF,1961
Brazil,0.261,0.378,LF,1962
Brazil,0.26,0.378,LF,1963
Brazil,0.251,0.368,LF,1964
Brazil,0.247,0.364,LF,1965
Brazil,0.239,0.355,LF,1966
Brazil,0.244,0.364,LF,1967
Brazil,0.255,0.382,LF,1968
Brazil,0.264,0.39,LF,1969
Brazil,0.286,0.419,LF,1970
Brazil,0.303,0.438,LF,1971
Brazil,0.315,0.452,LF,1972
Brazil,0.332,0.468,LF,1973
Brazil,0.356,0.493,LF,1974
Brazil,0.375,0.506,LF,1975
Brazil,0.383,0.509,LF,1976
Brazil,0.375,0.495,LF,1977
Brazil,0.36,0.476,LF,1978
Brazil,0.368,0.488,LF,1979
Brazil,0.395,0.521,LF,1980
Brazil,0.367,0.486,LF,1981
Brazil,0.38,0.505,LF,1982
Brazil,0.351,0.471,LF,1983
Brazil,0.338,0.462,LF,1984
Brazil,0.349,0.481,LF,1985
Brazil,0.359,0.498,LF,1986
Brazil,0.357,0.496,LF,1987
Brazil,0.339,0.476,LF,1988
Brazil,0.336,0.475,LF,1989
Brazil,0.315,0.45,LF,1990
Brazil,0.324,0.463,LF,1991
Brazil,0.311,0.447,LF,1992
Brazil,0.319,0.461,LF,1993
Brazil,0.324,0.472,LF,1994
Brazil,0.33,0.482,LF,1995
Brazil,0.328,0.483,LF,1996
Brazil,0.323,0.48,LF,1997
Brazil,0.3,0.45,LF,1998
Brazil,0.297,0.452,LF,1999
Brazil,0.298,0.46,LF,2000
Burkina-Faso,0.034,0.185,LF,1961
Burkina-Faso,0.034,0.182,LF,1962
Burkina-Faso,0.033,0.172,LF,1963
Burkina-Faso,0.031,0.164,LF,1964
Burkina-Faso,0.029,0.15,LF,1965
Burkina-Faso,0.028,0.141,LF,1966
Burkina-Faso,0.03,0.149,LF,1967
Burkina-Faso,0.03,0.15,LF,1968
Burkina-Faso,0.03,0.146,LF,1969
Burkina-Faso,0.03,0.147,LF,1970
Burkina-Faso,0.029,0.139,LF,1971
Burkina-Faso,0.029,0.133,LF,1972
Burkina-Faso,0.027,0.122,LF,1973
Burkina-Faso,0.03,0.129,LF,1974
Burkina-Faso,0.032,0.136,LF,1975
Burkina-Faso,0.033,0.135,LF,1976
Burkina-Faso,0.031,0.127,LF,1977
Burkina-Faso,0.031,0.128,LF,1978
Burkina-Faso,0.032,0.133,LF,1979
Burkina-Faso,0.032,0.132,LF,1980
Burkina-Faso,0.032,0.136,LF,1981
Burkina-Faso,0.038,0.156,LF,1982
Burkina-Faso,0.035,0.147,LF,1983
Burkina-Faso,0.032,0.135,LF,1984
Burkina-Faso,0.032,0.133,LF,1985
Burkina-Faso,0.034,0.139,LF,1986
Burkina-Faso,0.033,0.133,LF,1987
Burkina-Faso,0.033,0.133,LF,1988
Burkina-Faso,0.031,0.125,LF,1989
Burkina-Faso,0.03,0.123,LF,1990
Burkina-Faso,0.033,0.133,LF,1991
Burkina-Faso,0.033,0.129,LF,1992
Burkina-Faso,0.032,0.128,LF,1993
Burkina-Faso,0.032,0.127,LF,1994
Burkina-Faso,0.031,0.125,LF,1995
Burkina-Faso,0.031,0.123,LF,1996
Burkina-Faso,0.03,0.12,LF,1997
Burkina-Faso,0.031,0.124,LF,1998
Burkina-Faso,0.031,0.124,LF,1999
Burkina-Faso,0.03,0.119,LF,2000
Burundi,0.025,0.137,LF,1961
Burundi,0.026,0.142,LF,1962
Burundi,0.028,0.153,LF,1963
Burundi,0.028,0.156,LF,1964
Burundi,0.029,0.162,LF,1965
Burundi,0.028,0.158,LF,1966
Burundi,0.031,0.176,LF,1967
Burundi,0.03,0.167,LF,1968
Burundi,0.029,0.16,LF,1969
Burundi,0.038,0.215,LF,1970
Burundi,0.035,0.196,LF,1971
Burundi,0.033,0.189,LF,1972
Burundi,0.033,0.19,LF,1973
Burundi,0.033,0.187,LF,1974
Burundi,0.034,0.192,LF,1975
Burundi,0.032,0.181,LF,1976
Burundi,0.036,0.199,LF,1977
Burundi,0.034,0.184,LF,1978
Burundi,0.033,0.173,LF,1979
Burundi,0.031,0.161,LF,1980
Burundi,0.032,0.164,LF,1981
Burundi,0.032,0.162,LF,1982
Burundi,0.029,0.139,LF,1983
Burundi,0.026,0.122,LF,1984
Burundi,0.029,0.133,LF,1985
Burundi,0.03,0.138,LF,1986
Burundi,0.029,0.127,LF,1987
Burundi,0.031,0.14,LF,1988
Burundi,0.03,0.133,LF,1989
Burundi,0.03,0.133,LF,1990
Burundi,0.031,0.136,LF,1991
Burundi,0.03,0.131,LF,1992
Burundi,0.03,0.133,LF,1993
Burundi,0.028,0.126,LF,1994
Burundi,0.024,0.112,LF,1995
Burundi,0.021,0.103,LF,1996
Burundi,0.021,0.103,LF,1997
Burundi,0.019,0.094,LF,1998
Burundi,0.021,0.108,LF,1999
Burundi,0.015,0.082,LF,2000
Cameroon,0.087,0.35,LF,1961
Cameroon,0.084,0.336,LF,1962
Cameroon,0.083,0.329,LF,1963
Cameroon,0.081,0.319,LF,1964
Cameroon,0.076,0.298,LF,1965
Cameroon,0.074,0.283,LF,1966
Cameroon,0.064,0.242,LF,1967
Cameroon,0.065,0.246,LF,1968
Cameroon,0.065,0.247,LF,1969
Cameroon,0.066,0.247,LF,1970
Cameroon,0.068,0.246,LF,1971
Cameroon,0.065,0.232,LF,1972
Cameroon,0.063,0.224,LF,1973
Cameroon,0.07,0.247,LF,1974
Cameroon,0.081,0.28,LF,1975
Cameroon,0.072,0.246,LF,1976
Cameroon,0.078,0.263,LF,1977
Cameroon,0.086,0.285,LF,1978
Cameroon,0.09,0.291,LF,1979
Cameroon,0.085,0.27,LF,1980
Cameroon,0.096,0.296,LF,1981
Cameroon,0.109,0.326,LF,1982
Cameroon,0.11,0.318,LF,1983
Cameroon,0.108,0.306,LF,1984
Cameroon,0.112,0.311,LF,1985
Cameroon,0.121,0.331,LF,1986
Cameroon,0.116,0.317,LF,1987
Cameroon,0.102,0.28,LF,1988
Cameroon,0.093,0.26,LF,1989
Cameroon,0.085,0.243,LF,1990
Cameroon,0.083,0.238,LF,1991
Cameroon,0.075,0.22,LF,1992
Cameroon,0.072,0.212,LF,1993
Cameroon,0.068,0.205,LF,1994
Cameroon,0.067,0.208,LF,1995
Cameroon,0.067,0.213,LF,1996
Cameroon,0.067,0.216,LF,1997
Cameroon,0.065,0.215,LF,1998
Cameroon,0.064,0.214,LF,1999
Cameroon,0.064,0.22,LF,2000
Canada,0.913,0.866,LF,1961
Canada,0.913,0.87,LF,1962
Canada,0.911,0.873,LF,1963
Canada,0.911,0.876,LF,1964
Canada,0.904,0.872,LF,1965
Canada,0.898,0.87,LF,1966
Canada,0.888,0.864,LF,1967
Canada,0.881,0.861,LF,1968
Canada,0.893,0.875,LF,1969
Canada,0.903,0.886,LF,1970
Canada,0.895,0.887,LF,1971
Canada,0.884,0.88,LF,1972
Canada,0.886,0.887,LF,1973
Canada,0.914,0.914,LF,1974
Canada,0.932,0.927,LF,1975
Canada,0.917,0.911,LF,1976
Canada,0.881,0.881,LF,1977
Canada,0.861,0.868,LF,1978
Canada,0.871,0.881,LF,1979
Canada,0.873,0.884,LF,1980
Canada,0.885,0.893,LF,1981
Canada,0.867,0.876,LF,1982
Canada,0.858,0.866,LF,1983
Canada,0.845,0.857,LF,1984
Canada,0.859,0.869,LF,1985
Canada,0.852,0.861,LF,1986
Canada,0.859,0.866,LF,1987
Canada,0.868,0.869,LF,1988
Canada,0.854,0.853,LF,1989
Canada,0.83,0.829,LF,1990
Canada,0.816,0.811,LF,1991
Canada,0.793,0.789,LF,1992
Canada,0.791,0.789,LF,1993
Canada,0.798,0.799,LF,1994
Canada,0.803,0.806,LF,1995
Canada,0.791,0.797,LF,1996
Canada,0.8,0.806,LF,1997
Canada,0.799,0.809,LF,1998
Canada,0.81,0.823,LF,1999
Canada,0.81,0.826,LF,2000
Cape Verde,0.105,0.191,LF,1961
Cape Verde,0.093,0.172,LF,1962
Cape Verde,0.084,0.16,LF,1963
Cape Verde,0.086,0.169,LF,1964
Cape Verde,0.079,0.16,LF,1965
Cape Verde,0.086,0.18,LF,1966
Cape Verde,0.105,0.226,LF,1967
Cape Verde,0.103,0.226,LF,1968
Cape Verde,0.099,0.217,LF,1969
Cape Verde,0.106,0.232,LF,1970
Cape Verde,0.095,0.208,LF,1971
Cape Verde,0.087,0.192,LF,1972
Cape Verde,0.087,0.195,LF,1973
Cape Verde,0.079,0.179,LF,1974
Cape Verde,0.086,0.196,LF,1975
Cape Verde,0.084,0.189,LF,1976
Cape Verde,0.08,0.178,LF,1977
Cape Verde,0.09,0.2,LF,1978
Cape Verde,0.091,0.2,LF,1979
Cape Verde,0.127,0.276,LF,1980
Cape Verde,0.128,0.276,LF,1981
Cape Verde,0.133,0.282,LF,1982
Cape Verde,0.141,0.295,LF,1983
Cape Verde,0.138,0.288,LF,1984
Cape Verde,0.141,0.295,LF,1985
Cape Verde,0.137,0.285,LF,1986
Cape Verde,0.138,0.29,LF,1987
Cape Verde,0.141,0.299,LF,1988
Cape Verde,0.143,0.305,LF,1989
Cape Verde,0.141,0.304,LF,1990
Cape Verde,0.143,0.308,LF,1991
Cape Verde,0.137,0.291,LF,1992
Cape Verde,0.14,0.295,LF,1993
Cape Verde,0.14,0.292,LF,1994
Cape Verde,0.148,0.305,LF,1995
Cape Verde,0.145,0.3,LF,1996
Cape Verde,0.142,0.295,LF,1997
Cape Verde,0.14,0.295,LF,1998
Cape Verde,0.148,0.315,LF,1999
Cape Verde,0.156,0.337,LF,2000
Central African Republic,0.124,0.361,LF,1961
Central African Republic,0.115,0.334,LF,1962
Central African Republic,0.108,0.313,LF,1963
Central African Republic,0.11,0.317,LF,1964
Central African Republic,0.103,0.298,LF,1965
Central African Republic,0.098,0.286,LF,1966
Central African Republic,0.093,0.274,LF,1967
Central African Republic,0.098,0.291,LF,1968
Central African Republic,0.1,0.3,LF,1969
Central African Republic,0.103,0.308,LF,1970
Central African Republic,0.099,0.295,LF,1971
Central African Republic,0.093,0.28,LF,1972
Central African Republic,0.091,0.274,LF,1973
Central African Republic,0.087,0.269,LF,1974
Central African Republic,0.088,0.273,LF,1975
Central African Republic,0.086,0.271,LF,1976
Central African Republic,0.082,0.267,LF,1977
Central African Republic,0.083,0.276,LF,1978
Central African Republic,0.082,0.277,LF,1979
Central African Republic,0.078,0.271,LF,1980
Central African Republic,0.074,0.263,LF,1981
Central African Republic,0.077,0.277,LF,1982
Central African Republic,0.065,0.234,LF,1983
Central African Republic,0.065,0.236,LF,1984
Central African Republic,0.065,0.238,LF,1985
Central African Republic,0.064,0.238,LF,1986
Central African Republic,0.06,0.222,LF,1987
Central African Republic,0.058,0.216,LF,1988
Central African Republic,0.056,0.212,LF,1989
Central African Republic,0.054,0.206,LF,1990
Central African Republic,0.054,0.207,LF,1991
Central African Republic,0.049,0.19,LF,1992
Central African Republic,0.046,0.181,LF,1993
Central African Republic,0.037,0.147,LF,1994
Central African Republic,0.041,0.164,LF,1995
Central African Republic,0.033,0.135,LF,1996
Central African Republic,0.032,0.137,LF,1997
Central African Republic,0.035,0.148,LF,1998
Central African Republic,0.034,0.148,LF,1999
