TIME,GEO,INDIC_DE,Value
2037,European Union (28 countries),Proportion of population aged 15-64 years,59
2038,European Union (28 countries),Population on 1 January - total ,527744355
2038,European Union (28 countries),Proportion of population aged 15-64 years,58.7
2039,European Union (28 countries),Population on 1 January - total ,528065411
2039,European Union (28 countries),Proportion of population aged 15-64 years,58.5
2040,European Union (28 countries),Population on 1 January - total ,528357270
2040,European Union (28 countries),Proportion of population aged 15-64 years,58.3
2041,European Union (28 countries),Population on 1 January - total ,528603901
2041,European Union (28 countries),Proportion of population aged 15-64 years,58.1
2042,European Union (28 countries),Population on 1 January - total ,528807737
2042,European Union (28 countries),Proportion of population aged 15-64 years,57.9
2043,European Union (28 countries),Population on 1 January - total ,528962699
2043,European Union (28 countries),Proportion of population aged 15-64 years,57.7
2044,European Union (28 countries),Population on 1 January - total ,529066109
2044,European Union (28 countries),Proportion of population aged 15-64 years,57.5
2045,European Union (28 countries),Population on 1 January - total ,529114699
2045,European Union (28 countries),Proportion of population aged 15-64 years,57.3
2046,European Union (28 countries),Population on 1 January - total ,529111133
2046,European Union (28 countries),Proportion of population aged 15-64 years,57.2
2047,European Union (28 countries),Population on 1 January - total ,529050104
2047,European Union (28 countries),Proportion of population aged 15-64 years,57
2048,European Union (28 countries),Population on 1 January - total ,528938859
2048,European Union (28 countries),Proportion of population aged 15-64 years,56.9
2049,European Union (28 countries),Population on 1 January - total ,528775512
2049,European Union (28 countries),Proportion of population aged 15-64 years,56.8
2050,European Union (28 countries),Population on 1 January - total ,528567808
2050,European Union (28 countries),Proportion of population aged 15-64 years,56.7
2051,European Union (28 countries),Population on 1 January - total ,528316932
2051,European Union (28 countries),Proportion of population aged 15-64 years,56.6
2052,European Union (28 countries),Population on 1 January - total ,528026016
2052,European Union (28 countries),Proportion of population aged 15-64 years,56.5
2053,European Union (28 countries),Population on 1 January - total ,527697857
2053,European Union (28 countries),Proportion of population aged 15-64 years,56.4
2054,European Union (28 countries),Population on 1 January - total ,527341756
2054,European Union (28 countries),Proportion of population aged 15-64 years,56.3
2055,European Union (28 countries),Population on 1 January - total ,526950337
2055,European Union (28 countries),Proportion of population aged 15-64 years,56.3
2056,European Union (28 countries),Population on 1 January - total ,526535567
2056,European Union (28 countries),Proportion of population aged 15-64 years,56.2
2057,European Union (28 countries),Population on 1 January - total ,526089401
2057,European Union (28 countries),Proportion of population aged 15-64 years,56.1
2058,European Union (28 countries),Population on 1 January - total ,525619293
2058,European Union (28 countries),Proportion of population aged 15-64 years,56.1
2059,European Union (28 countries),Population on 1 January - total ,525132568
2059,European Union (28 countries),Proportion of population aged 15-64 years,56.1
2060,European Union (28 countries),Population on 1 January - total ,524635534
2060,European Union (28 countries),Proportion of population aged 15-64 years,56.1
2061,European Union (28 countries),Population on 1 January - total ,524133541
2061,European Union (28 countries),Proportion of population aged 15-64 years,56.1
2062,European Union (28 countries),Population on 1 January - total ,523640497
2062,European Union (28 countries),Proportion of population aged 15-64 years,56.1
2063,European Union (28 countries),Population on 1 January - total ,523158815
2063,European Union (28 countries),Proportion of population aged 15-64 years,56.1
2064,European Union (28 countries),Population on 1 January - total ,522690849
2064,European Union (28 countries),Proportion of population aged 15-64 years,56.1
2065,European Union (28 countries),Population on 1 January - total ,522242550
2065,European Union (28 countries),Proportion of population aged 15-64 years,56.2
2066,European Union (28 countries),Population on 1 January - total ,521822528
2066,European Union (28 countries),Proportion of population aged 15-64 years,56.2
2067,European Union (28 countries),Population on 1 January - total ,521422138
2067,European Union (28 countries),Proportion of population aged 15-64 years,56.2
2068,European Union (28 countries),Population on 1 January - total ,521048272
2068,European Union (28 countries),Proportion of population aged 15-64 years,56.2
2069,European Union (28 countries),Population on 1 January - total ,520704577
2069,European Union (28 countries),Proportion of population aged 15-64 years,56.2
2070,European Union (28 countries),Population on 1 January - total ,520393410
2070,European Union (28 countries),Proportion of population aged 15-64 years,56.2
2071,European Union (28 countries),Population on 1 January - total ,520113633
2071,European Union (28 countries),Proportion of population aged 15-64 years,56.2
2072,European Union (28 countries),Population on 1 January - total ,519866365
2072,European Union (28 countries),Proportion of population aged 15-64 years,56.1
2073,European Union (28 countries),Population on 1 January - total ,519652159
2073,European Union (28 countries),Proportion of population aged 15-64 years,56.1
2074,European Union (28 countries),Population on 1 January - total ,519472704
2074,European Union (28 countries),Proportion of population aged 15-64 years,56
2075,European Union (28 countries),Population on 1 January - total ,519316675
2075,European Union (28 countries),Proportion of population aged 15-64 years,55.9
2076,European Union (28 countries),Population on 1 January - total ,519182746
2076,European Union (28 countries),Proportion of population aged 15-64 years,55.8
2077,European Union (28 countries),Population on 1 January - total ,519062463
2077,European Union (28 countries),Proportion of population aged 15-64 years,55.8
2078,European Union (28 countries),Population on 1 January - total ,518961269
2078,European Union (28 countries),Proportion of population aged 15-64 years,55.7
2079,European Union (28 countries),Population on 1 January - total ,518873060
2079,European Union (28 countries),Proportion of population aged 15-64 years,55.7
2080,European Union (28 countries),Population on 1 January - total ,518798375
2080,European Union (28 countries),Proportion of population aged 15-64 years,55.6
2081,European Union (28 countries),Population on 1 January - total ,518742672
2081,European Union (28 countries),Proportion of population aged 15-64 years,55.6
