TIME,GEO,GEO_LABEL,UNIT,Value
2013,DK01,Hovedstaden,Euro per inhabitant,56600
2013,DK01,Hovedstaden,Euro per inhabitant in percentage of the EU average,212
2013,DK01,Hovedstaden,Purchasing power standard (PPS) per inhabitant,42000
2013,DK01,Hovedstaden,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,157
2013,DK01,Hovedstaden,Million euro,98537
2013,DK01,Hovedstaden,Million purchasing power standard (PPS),73081
2013,DK02,Sj�lland,Euro per inhabitant,30900
2013,DK02,Sj�lland,Euro per inhabitant in percentage of the EU average,116
2013,DK02,Sj�lland,Purchasing power standard (PPS) per inhabitant,22900
2013,DK02,Sj�lland,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,86
2013,DK02,Sj�lland,Million euro,25212
2013,DK02,Sj�lland,Million purchasing power standard (PPS),18699
2013,DK03,Syddanmark,Euro per inhabitant,40700
2013,DK03,Syddanmark,Euro per inhabitant in percentage of the EU average,152
2013,DK03,Syddanmark,Purchasing power standard (PPS) per inhabitant,30200
2013,DK03,Syddanmark,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,113
2013,DK03,Syddanmark,Million euro,48915
2013,DK03,Syddanmark,Million purchasing power standard (PPS),36278
2013,DK04,Midtjylland,Euro per inhabitant,40900
2013,DK04,Midtjylland,Euro per inhabitant in percentage of the EU average,153
2013,DK04,Midtjylland,Purchasing power standard (PPS) per inhabitant,30300
2013,DK04,Midtjylland,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,114
2013,DK04,Midtjylland,Million euro,52166
2013,DK04,Midtjylland,Million purchasing power standard (PPS),38690
2013,DK05,Nordjylland,Euro per inhabitant,39000
2013,DK05,Nordjylland,Euro per inhabitant in percentage of the EU average,146
2013,DK05,Nordjylland,Purchasing power standard (PPS) per inhabitant,28900
2013,DK05,Nordjylland,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,108
2013,DK05,Nordjylland,Million euro,22596
2013,DK05,Nordjylland,Million purchasing power standard (PPS),16759
2013,DKZZ,Extra-Regio NUTS 2,Euro per inhabitant, 
2013,DKZZ,Extra-Regio NUTS 2,Euro per inhabitant in percentage of the EU average, 
2013,DKZZ,Extra-Regio NUTS 2,Purchasing power standard (PPS) per inhabitant, 
2013,DKZZ,Extra-Regio NUTS 2,Purchasing power standards (PPS) per inhabitant in percentage of the EU average, 
2013,DKZZ,Extra-Regio NUTS 2,Million euro,7809
2013,DKZZ,Extra-Regio NUTS 2,Million purchasing power standard (PPS),5792
2013,DE11,Stuttgart,Euro per inhabitant,44700
2013,DE11,Stuttgart,Euro per inhabitant in percentage of the EU average,167
2013,DE11,Stuttgart,Purchasing power standard (PPS) per inhabitant,42500
2013,DE11,Stuttgart,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,159
2013,DE11,Stuttgart,Million euro,177146
2013,DE11,Stuttgart,Million purchasing power standard (PPS),168196
2013,DE12,Karlsruhe,Euro per inhabitant,39000
2013,DE12,Karlsruhe,Euro per inhabitant in percentage of the EU average,146
2013,DE12,Karlsruhe,Purchasing power standard (PPS) per inhabitant,37000
2013,DE12,Karlsruhe,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,139
2013,DE12,Karlsruhe,Million euro,105082
2013,DE12,Karlsruhe,Million purchasing power standard (PPS),99773
2013,DE13,Freiburg,Euro per inhabitant,33900
2013,DE13,Freiburg,Euro per inhabitant in percentage of the EU average,127
2013,DE13,Freiburg,Purchasing power standard (PPS) per inhabitant,32200
2013,DE13,Freiburg,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,120
2013,DE13,Freiburg,Million euro,73453
2013,DE13,Freiburg,Million purchasing power standard (PPS),69742
2013,DE14,T�bingen,Euro per inhabitant,37600
2013,DE14,T�bingen,Euro per inhabitant in percentage of the EU average,141
2013,DE14,T�bingen,Purchasing power standard (PPS) per inhabitant,35700
2013,DE14,T�bingen,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,134
2013,DE14,T�bingen,Million euro,66836
2013,DE14,T�bingen,Million purchasing power standard (PPS),63459
2013,DE21,Oberbayern,Euro per inhabitant,50000
2013,DE21,Oberbayern,Euro per inhabitant in percentage of the EU average,187
2013,DE21,Oberbayern,Purchasing power standard (PPS) per inhabitant,47500
2013,DE21,Oberbayern,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,178
2013,DE21,Oberbayern,Million euro,222107
2013,DE21,Oberbayern,Million purchasing power standard (PPS),210886
2013,DE22,Niederbayern,Euro per inhabitant,33900
2013,DE22,Niederbayern,Euro per inhabitant in percentage of the EU average,127
2013,DE22,Niederbayern,Purchasing power standard (PPS) per inhabitant,32200
2013,DE22,Niederbayern,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,120
2013,DE22,Niederbayern,Million euro,40144
2013,DE22,Niederbayern,Million purchasing power standard (PPS),38116
2013,DE23,Oberpfalz,Euro per inhabitant,35600
2013,DE23,Oberpfalz,Euro per inhabitant in percentage of the EU average,133
2013,DE23,Oberpfalz,Purchasing power standard (PPS) per inhabitant,33800
2013,DE23,Oberpfalz,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,126
2013,DE23,Oberpfalz,Million euro,38318
2013,DE23,Oberpfalz,Million purchasing power standard (PPS),36382
2013,DE24,Oberfranken,Euro per inhabitant,31500
2013,DE24,Oberfranken,Euro per inhabitant in percentage of the EU average,118
2013,DE24,Oberfranken,Purchasing power standard (PPS) per inhabitant,29900
2013,DE24,Oberfranken,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,112
2013,DE24,Oberfranken,Million euro,33348
2013,DE24,Oberfranken,Million purchasing power standard (PPS),31663
2013,DE25,Mittelfranken,Euro per inhabitant,37600
2013,DE25,Mittelfranken,Euro per inhabitant in percentage of the EU average,141
2013,DE25,Mittelfranken,Purchasing power standard (PPS) per inhabitant,35700
2013,DE25,Mittelfranken,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,134
2013,DE25,Mittelfranken,Million euro,64082
2013,DE25,Mittelfranken,Million purchasing power standard (PPS),60844
2013,DE26,Unterfranken,Euro per inhabitant,35100
2013,DE26,Unterfranken,Euro per inhabitant in percentage of the EU average,131
2013,DE26,Unterfranken,Purchasing power standard (PPS) per inhabitant,33300
2013,DE26,Unterfranken,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,125
2013,DE26,Unterfranken,Million euro,45580
2013,DE26,Unterfranken,Million purchasing power standard (PPS),43278
2013,DE27,Schwaben,Euro per inhabitant,34900
2013,DE27,Schwaben,Euro per inhabitant in percentage of the EU average,130
2013,DE27,Schwaben,Purchasing power standard (PPS) per inhabitant,33100
2013,DE27,Schwaben,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,124
2013,DE27,Schwaben,Million euro,62738
2013,DE27,Schwaben,Million purchasing power standard (PPS),59569
2013,DE30,Berlin,Euro per inhabitant,33200
2013,DE30,Berlin,Euro per inhabitant in percentage of the EU average,124
2013,DE30,Berlin,Purchasing power standard (PPS) per inhabitant,31500
2013,DE30,Berlin,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,118
2013,DE30,Berlin,Million euro,112789
2013,DE30,Berlin,Million purchasing power standard (PPS),107091
2013,DE40,Brandenburg,Euro per inhabitant,24700
2013,DE40,Brandenburg,Euro per inhabitant in percentage of the EU average,93
2013,DE40,Brandenburg,Purchasing power standard (PPS) per inhabitant,23500
2013,DE40,Brandenburg,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,88
2013,DE40,Brandenburg,Million euro,60587
2013,DE40,Brandenburg,Million purchasing power standard (PPS),57526
2013,DE50,Bremen,Euro per inhabitant,45000
2013,DE50,Bremen,Euro per inhabitant in percentage of the EU average,168
2013,DE50,Bremen,Purchasing power standard (PPS) per inhabitant,42700
2013,DE50,Bremen,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,160
2013,DE50,Bremen,Million euro,29538
2013,DE50,Bremen,Million purchasing power standard (PPS),28046
2013,DE60,Hamburg,Euro per inhabitant,57400
2013,DE60,Hamburg,Euro per inhabitant in percentage of the EU average,215
2013,DE60,Hamburg,Purchasing power standard (PPS) per inhabitant,54500
2013,DE60,Hamburg,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,204
2013,DE60,Hamburg,Million euro,99869
2013,DE60,Hamburg,Million purchasing power standard (PPS),94824
2013,DE71,Darmstadt,Euro per inhabitant,45500
2013,DE71,Darmstadt,Euro per inhabitant in percentage of the EU average,170
2013,DE71,Darmstadt,Purchasing power standard (PPS) per inhabitant,43200
2013,DE71,Darmstadt,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,162
2013,DE71,Darmstadt,Million euro,173389
2013,DE71,Darmstadt,Million purchasing power standard (PPS),164628
2013,DE72,Gie�en,Euro per inhabitant,30300
2013,DE72,Gie�en,Euro per inhabitant in percentage of the EU average,113
2013,DE72,Gie�en,Purchasing power standard (PPS) per inhabitant,28700
2013,DE72,Gie�en,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,108
2013,DE72,Gie�en,Million euro,30980
2013,DE72,Gie�en,Million purchasing power standard (PPS),29414
2013,DE73,Kassel,Euro per inhabitant,32700
2013,DE73,Kassel,Euro per inhabitant in percentage of the EU average,122
2013,DE73,Kassel,Purchasing power standard (PPS) per inhabitant,31000
2013,DE73,Kassel,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,116
2013,DE73,Kassel,Million euro,39263
2013,DE73,Kassel,Million purchasing power standard (PPS),37279
2013,DE80,Mecklenburg-Vorpommern,Euro per inhabitant,23400
2013,DE80,Mecklenburg-Vorpommern,Euro per inhabitant in percentage of the EU average,88
2013,DE80,Mecklenburg-Vorpommern,Purchasing power standard (PPS) per inhabitant,22300
2013,DE80,Mecklenburg-Vorpommern,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,83
2013,DE80,Mecklenburg-Vorpommern,Million euro,37463
2013,DE80,Mecklenburg-Vorpommern,Million purchasing power standard (PPS),35570
2013,DE91,Braunschweig,Euro per inhabitant,37900
2013,DE91,Braunschweig,Euro per inhabitant in percentage of the EU average,142
2013,DE91,Braunschweig,Purchasing power standard (PPS) per inhabitant,36000
2013,DE91,Braunschweig,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,135
2013,DE91,Braunschweig,Million euro,59731
2013,DE91,Braunschweig,Million purchasing power standard (PPS),56713
2013,DE92,Hannover,Euro per inhabitant,33900
2013,DE92,Hannover,Euro per inhabitant in percentage of the EU average,127
2013,DE92,Hannover,Purchasing power standard (PPS) per inhabitant,32200
2013,DE92,Hannover,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,120
2013,DE92,Hannover,Million euro,71120
2013,DE92,Hannover,Million purchasing power standard (PPS),67527
2013,DE93,L�neburg,Euro per inhabitant,24700
2013,DE93,L�neburg,Euro per inhabitant in percentage of the EU average,92
2013,DE93,L�neburg,Purchasing power standard (PPS) per inhabitant,23400
2013,DE93,L�neburg,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,88
2013,DE93,L�neburg,Million euro,41181
2013,DE93,L�neburg,Million purchasing power standard (PPS),39100
2013,DE94,Weser-Ems,Euro per inhabitant,30900
2013,DE94,Weser-Ems,Euro per inhabitant in percentage of the EU average,116
2013,DE94,Weser-Ems,Purchasing power standard (PPS) per inhabitant,29400
2013,DE94,Weser-Ems,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,110
2013,DE94,Weser-Ems,Million euro,75603
2013,DE94,Weser-Ems,Million purchasing power standard (PPS),71783
2013,DEA1,D�sseldorf,Euro per inhabitant,37400
2013,DEA1,D�sseldorf,Euro per inhabitant in percentage of the EU average,140
2013,DEA1,D�sseldorf,Purchasing power standard (PPS) per inhabitant,35600
2013,DEA1,D�sseldorf,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,133
2013,DEA1,D�sseldorf,Million euro,190406
2013,DEA1,D�sseldorf,Million purchasing power standard (PPS),180786
2013,DEA2,K�ln,Euro per inhabitant,36900
2013,DEA2,K�ln,Euro per inhabitant in percentage of the EU average,138
2013,DEA2,K�ln,Purchasing power standard (PPS) per inhabitant,35000
2013,DEA2,K�ln,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,131
2013,DEA2,K�ln,Million euro,159404
2013,DEA2,K�ln,Million purchasing power standard (PPS),151350
2013,DEA3,M�nster,Euro per inhabitant,30300
2013,DEA3,M�nster,Euro per inhabitant in percentage of the EU average,114
2013,DEA3,M�nster,Purchasing power standard (PPS) per inhabitant,28800
2013,DEA3,M�nster,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,108
2013,DEA3,M�nster,Million euro,78086
2013,DEA3,M�nster,Million purchasing power standard (PPS),74141
2013,DEA4,Detmold,Euro per inhabitant,34000
2013,DEA4,Detmold,Euro per inhabitant in percentage of the EU average,127
2013,DEA4,Detmold,Purchasing power standard (PPS) per inhabitant,32300
2013,DEA4,Detmold,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,121
2013,DEA4,Detmold,Million euro,68872
2013,DEA4,Detmold,Million purchasing power standard (PPS),65392
2013,DEA5,Arnsberg,Euro per inhabitant,31400
2013,DEA5,Arnsberg,Euro per inhabitant in percentage of the EU average,118
2013,DEA5,Arnsberg,Purchasing power standard (PPS) per inhabitant,29800
2013,DEA5,Arnsberg,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,112
2013,DEA5,Arnsberg,Million euro,111777
2013,DEA5,Arnsberg,Million purchasing power standard (PPS),106130
2013,DEB1,Koblenz,Euro per inhabitant,29700
2013,DEB1,Koblenz,Euro per inhabitant in percentage of the EU average,111
2013,DEB1,Koblenz,Purchasing power standard (PPS) per inhabitant,28200
2013,DEB1,Koblenz,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,105
2013,DEB1,Koblenz,Million euro,43800
2013,DEB1,Koblenz,Million purchasing power standard (PPS),41587
2013,DEB2,Trier,Euro per inhabitant,27700
2013,DEB2,Trier,Euro per inhabitant in percentage of the EU average,104
2013,DEB2,Trier,Purchasing power standard (PPS) per inhabitant,26300
2013,DEB2,Trier,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,98
2013,DEB2,Trier,Million euro,14375
2013,DEB2,Trier,Million purchasing power standard (PPS),13649
2013,DEB3,Rheinhessen-Pfalz,Euro per inhabitant,33300
2013,DEB3,Rheinhessen-Pfalz,Euro per inhabitant in percentage of the EU average,125
2013,DEB3,Rheinhessen-Pfalz,Purchasing power standard (PPS) per inhabitant,31600
2013,DEB3,Rheinhessen-Pfalz,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,118
2013,DEB3,Rheinhessen-Pfalz,Million euro,66575
2013,DEB3,Rheinhessen-Pfalz,Million purchasing power standard (PPS),63211
2013,DEC0,Saarland,Euro per inhabitant,32900
2013,DEC0,Saarland,Euro per inhabitant in percentage of the EU average,123
2013,DEC0,Saarland,Purchasing power standard (PPS) per inhabitant,31300
2013,DEC0,Saarland,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,117
2013,DEC0,Saarland,Million euro,32702
2013,DEC0,Saarland,Million purchasing power standard (PPS),31050
2013,DED2,Dresden,Euro per inhabitant,26200
2013,DED2,Dresden,Euro per inhabitant in percentage of the EU average,98
2013,DED2,Dresden,Purchasing power standard (PPS) per inhabitant,24800
2013,DED2,Dresden,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,93
2013,DED2,Dresden,Million euro,41609
2013,DED2,Dresden,Million purchasing power standard (PPS),39507
2013,DED4,Chemnitz,Euro per inhabitant,24000
2013,DED4,Chemnitz,Euro per inhabitant in percentage of the EU average,90
2013,DED4,Chemnitz,Purchasing power standard (PPS) per inhabitant,22700
2013,DED4,Chemnitz,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,85
2013,DED4,Chemnitz,Million euro,35327
2013,DED4,Chemnitz,Million purchasing power standard (PPS),33542
2013,DED5,Leipzig,Euro per inhabitant,28700
2013,DED5,Leipzig,Euro per inhabitant in percentage of the EU average,107
2013,DED5,Leipzig,Purchasing power standard (PPS) per inhabitant,27300
2013,DED5,Leipzig,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,102
2013,DED5,Leipzig,Million euro,28204
