TIME,GEO,INDIC_ET,SITC06,PARTNER,Value
2005,Malta,Share of exports by Member State (%),Total - all products,European Union (28 countries),0
2005,Netherlands,Share of exports by Member State (%),Total - all products,European Union (28 countries),11.7
2005,Austria,Share of exports by Member State (%),Total - all products,European Union (28 countries),3.3
2005,Poland,Share of exports by Member State (%),Total - all products,European Union (28 countries),2.5
2005,Portugal,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.1
2005,Romania,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.7
2005,Slovenia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.5
2005,Slovakia,Share of exports by Member State (%),Total - all products,European Union (28 countries),1
2005,Finland,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.3
2005,Sweden,Share of exports by Member State (%),Total - all products,European Union (28 countries),2.8
2005,United Kingdom,Share of exports by Member State (%),Total - all products,European Union (28 countries),8
2006,Belgium,Share of exports by Member State (%),Total - all products,European Union (28 countries),8.9
2006,Bulgaria,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.3
2006,Czech Republic,Share of exports by Member State (%),Total - all products,European Union (28 countries),2.6
2006,Denmark,Share of exports by Member State (%),Total - all products,European Union (28 countries),2.1
2006,Germany (until 1990 former territory of the FRG),Share of exports by Member State (%),Total - all products,European Union (28 countries),22.4
2006,Estonia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.2
2006,Ireland,Share of exports by Member State (%),Total - all products,European Union (28 countries),2.2
2006,Greece,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.5
2006,Spain,Share of exports by Member State (%),Total - all products,European Union (28 countries),4.8
2006,France,Share of exports by Member State (%),Total - all products,European Union (28 countries),10.3
2006,Croatia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.2
2006,Italy,Share of exports by Member State (%),Total - all products,European Union (28 countries),8.2
2006,Cyprus,Share of exports by Member State (%),Total - all products,European Union (28 countries),0
2006,Latvia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.1
2006,Lithuania,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.3
2006,Luxembourg,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.7
2006,Hungary,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.9
2006,Malta,Share of exports by Member State (%),Total - all products,European Union (28 countries),0
2006,Netherlands,Share of exports by Member State (%),Total - all products,European Union (28 countries),11.6
2006,Austria,Share of exports by Member State (%),Total - all products,European Union (28 countries),3.2
2006,Poland,Share of exports by Member State (%),Total - all products,European Union (28 countries),2.8
2006,Portugal,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.1
2006,Romania,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.7
2006,Slovenia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.6
2006,Slovakia,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.2
2006,Finland,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.4
2006,Sweden,Share of exports by Member State (%),Total - all products,European Union (28 countries),2.8
2006,United Kingdom,Share of exports by Member State (%),Total - all products,European Union (28 countries),8.9
2007,Belgium,Share of exports by Member State (%),Total - all products,European Union (28 countries),8.9
2007,Bulgaria,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.3
2007,Czech Republic,Share of exports by Member State (%),Total - all products,European Union (28 countries),2.9
2007,Denmark,Share of exports by Member State (%),Total - all products,European Union (28 countries),2
2007,Germany (until 1990 former territory of the FRG),Share of exports by Member State (%),Total - all products,European Union (28 countries),23.4
2007,Estonia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.2
2007,Ireland,Share of exports by Member State (%),Total - all products,European Union (28 countries),2.1
2007,Greece,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.5
2007,Spain,Share of exports by Member State (%),Total - all products,European Union (28 countries),4.9
2007,France,Share of exports by Member State (%),Total - all products,European Union (28 countries),10
2007,Croatia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.2
2007,Italy,Share of exports by Member State (%),Total - all products,European Union (28 countries),8.4
2007,Cyprus,Share of exports by Member State (%),Total - all products,European Union (28 countries),0
2007,Latvia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.2
2007,Lithuania,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.3
2007,Luxembourg,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.5
2007,Hungary,Share of exports by Member State (%),Total - all products,European Union (28 countries),2.1
2007,Malta,Share of exports by Member State (%),Total - all products,European Union (28 countries),0
2007,Netherlands,Share of exports by Member State (%),Total - all products,European Union (28 countries),11.7
2007,Austria,Share of exports by Member State (%),Total - all products,European Union (28 countries),3.3
2007,Poland,Share of exports by Member State (%),Total - all products,European Union (28 countries),3
2007,Portugal,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.1
2007,Romania,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.8
2007,Slovenia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.6
2007,Slovakia,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.4
2007,Finland,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.4
2007,Sweden,Share of exports by Member State (%),Total - all products,European Union (28 countries),2.8
2007,United Kingdom,Share of exports by Member State (%),Total - all products,European Union (28 countries),7
2008,Belgium,Share of exports by Member State (%),Total - all products,European Union (28 countries),9
2008,Bulgaria,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.3
2008,Czech Republic,Share of exports by Member State (%),Total - all products,European Union (28 countries),3.1
2008,Denmark,Share of exports by Member State (%),Total - all products,European Union (28 countries),2
2008,Germany (until 1990 former territory of the FRG),Share of exports by Member State (%),Total - all products,European Union (28 countries),22.8
2008,Estonia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.2
2008,Ireland,Share of exports by Member State (%),Total - all products,European Union (28 countries),2
2008,Greece,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.5
2008,Spain,Share of exports by Member State (%),Total - all products,European Union (28 countries),4.9
2008,France,Share of exports by Member State (%),Total - all products,European Union (28 countries),9.8
2008,Croatia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.2
2008,Italy,Share of exports by Member State (%),Total - all products,European Union (28 countries),8
2008,Cyprus,Share of exports by Member State (%),Total - all products,European Union (28 countries),0
2008,Latvia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.2
2008,Lithuania,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.4
2008,Luxembourg,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.6
2008,Hungary,Share of exports by Member State (%),Total - all products,European Union (28 countries),2.1
2008,Malta,Share of exports by Member State (%),Total - all products,European Union (28 countries),0
2008,Netherlands,Share of exports by Member State (%),Total - all products,European Union (28 countries),12.5
2008,Austria,Share of exports by Member State (%),Total - all products,European Union (28 countries),3.3
2008,Poland,Share of exports by Member State (%),Total - all products,European Union (28 countries),3.3
2008,Portugal,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.1
2008,Romania,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.9
2008,Slovenia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.6
2008,Slovakia,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.5
2008,Finland,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.3
2008,Sweden,Share of exports by Member State (%),Total - all products,European Union (28 countries),2.7
2008,United Kingdom,Share of exports by Member State (%),Total - all products,European Union (28 countries),6.5
2009,Belgium,Share of exports by Member State (%),Total - all products,European Union (28 countries),9.1
2009,Bulgaria,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.3
2009,Czech Republic,Share of exports by Member State (%),Total - all products,European Union (28 countries),3.1
2009,Denmark,Share of exports by Member State (%),Total - all products,European Union (28 countries),2.1
2009,Germany (until 1990 former territory of the FRG),Share of exports by Member State (%),Total - all products,European Union (28 countries),22.7
2009,Estonia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.2
2009,Ireland,Share of exports by Member State (%),Total - all products,European Union (28 countries),2.3
2009,Greece,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.5
2009,Spain,Share of exports by Member State (%),Total - all products,European Union (28 countries),5.1
2009,France,Share of exports by Member State (%),Total - all products,European Union (28 countries),9.8
2009,Croatia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.2
2009,Italy,Share of exports by Member State (%),Total - all products,European Union (28 countries),7.7
2009,Cyprus,Share of exports by Member State (%),Total - all products,European Union (28 countries),0
2009,Latvia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.2
2009,Lithuania,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.3
2009,Luxembourg,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.6
2009,Hungary,Share of exports by Member State (%),Total - all products,European Union (28 countries),2.2
2009,Malta,Share of exports by Member State (%),Total - all products,European Union (28 countries),0
2009,Netherlands,Share of exports by Member State (%),Total - all products,European Union (28 countries),12.5
2009,Austria,Share of exports by Member State (%),Total - all products,European Union (28 countries),3.2
2009,Poland,Share of exports by Member State (%),Total - all products,European Union (28 countries),3.5
2009,Portugal,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.1
2009,Romania,Share of exports by Member State (%),Total - all products,European Union (28 countries),1
2009,Slovenia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.6
2009,Slovakia,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.6
2009,Finland,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.1
2009,Sweden,Share of exports by Member State (%),Total - all products,European Union (28 countries),2.5
2009,United Kingdom,Share of exports by Member State (%),Total - all products,European Union (28 countries),6.3
2010,Belgium,Share of exports by Member State (%),Total - all products,European Union (28 countries),8.8
2010,Bulgaria,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.4
2010,Czech Republic,Share of exports by Member State (%),Total - all products,European Union (28 countries),3.3
2010,Denmark,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.9
2010,Germany (until 1990 former territory of the FRG),Share of exports by Member State (%),Total - all products,European Union (28 countries),22.4
2010,Estonia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.2
2010,Ireland,Share of exports by Member State (%),Total - all products,European Union (28 countries),2
2010,Greece,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.5
2010,Spain,Share of exports by Member State (%),Total - all products,European Union (28 countries),5.2
2010,France,Share of exports by Member State (%),Total - all products,European Union (28 countries),9.4
2010,Croatia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.2
2010,Italy,Share of exports by Member State (%),Total - all products,European Union (28 countries),7.6
2010,Cyprus,Share of exports by Member State (%),Total - all products,European Union (28 countries),0
2010,Latvia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.2
2010,Lithuania,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.4
2010,Luxembourg,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.5
2010,Hungary,Share of exports by Member State (%),Total - all products,European Union (28 countries),2.2
2010,Malta,Share of exports by Member State (%),Total - all products,European Union (28 countries),0
2010,Netherlands,Share of exports by Member State (%),Total - all products,European Union (28 countries),13.1
2010,Austria,Share of exports by Member State (%),Total - all products,European Union (28 countries),3.3
2010,Poland,Share of exports by Member State (%),Total - all products,European Union (28 countries),3.7
2010,Portugal,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.1
2010,Romania,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.1
2010,Slovenia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.7
2010,Slovakia,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.6
2010,Finland,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.1
2010,Sweden,Share of exports by Member State (%),Total - all products,European Union (28 countries),2.7
2010,United Kingdom,Share of exports by Member State (%),Total - all products,European Union (28 countries),6.5
2011,Belgium,Share of exports by Member State (%),Total - all products,European Union (28 countries),8.7
2011,Bulgaria,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.4
2011,Czech Republic,Share of exports by Member State (%),Total - all products,European Union (28 countries),3.5
2011,Denmark,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.9
2011,Germany (until 1990 former territory of the FRG),Share of exports by Member State (%),Total - all products,European Union (28 countries),22.3
2011,Estonia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.3
2011,Ireland,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.9
2011,Greece,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.4
2011,Spain,Share of exports by Member State (%),Total - all products,European Union (28 countries),5.2
2011,France,Share of exports by Member State (%),Total - all products,European Union (28 countries),9.3
2011,Croatia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.2
2011,Italy,Share of exports by Member State (%),Total - all products,European Union (28 countries),7.5
2011,Cyprus,Share of exports by Member State (%),Total - all products,European Union (28 countries),0
2011,Latvia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.2
2011,Lithuania,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.4
2011,Luxembourg,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.4
2011,Hungary,Share of exports by Member State (%),Total - all products,European Union (28 countries),2.2
2011,Malta,Share of exports by Member State (%),Total - all products,European Union (28 countries),0
2011,Netherlands,Share of exports by Member State (%),Total - all products,European Union (28 countries),13.1
2011,Austria,Share of exports by Member State (%),Total - all products,European Union (28 countries),3.2
2011,Poland,Share of exports by Member State (%),Total - all products,European Union (28 countries),3.8
2011,Portugal,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.1
2011,Romania,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.1
2011,Slovenia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.7
2011,Slovakia,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.7
2011,Finland,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.1
2011,Sweden,Share of exports by Member State (%),Total - all products,European Union (28 countries),2.7
2011,United Kingdom,Share of exports by Member State (%),Total - all products,European Union (28 countries),6.5
2012,Belgium,Share of exports by Member State (%),Total - all products,European Union (28 countries),8.6
2012,Bulgaria,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.4
2012,Czech Republic,Share of exports by Member State (%),Total - all products,European Union (28 countries),3.5
2012,Denmark,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.9
2012,Germany (until 1990 former territory of the FRG),Share of exports by Member State (%),Total - all products,European Union (28 countries),21.8
2012,Estonia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.3
2012,Ireland,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.9
2012,Greece,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.4
2012,Spain,Share of exports by Member State (%),Total - all products,European Union (28 countries),5.2
2012,France,Share of exports by Member State (%),Total - all products,European Union (28 countries),9.2
2012,Croatia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.2
2012,Italy,Share of exports by Member State (%),Total - all products,European Union (28 countries),7.5
2012,Cyprus,Share of exports by Member State (%),Total - all products,European Union (28 countries),0
2012,Latvia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.2
2012,Lithuania,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.5
2012,Luxembourg,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.4
2012,Hungary,Share of exports by Member State (%),Total - all products,European Union (28 countries),2.2
2012,Malta,Share of exports by Member State (%),Total - all products,European Union (28 countries),0
2012,Netherlands,Share of exports by Member State (%),Total - all products,European Union (28 countries),13.6
2012,Austria,Share of exports by Member State (%),Total - all products,European Union (28 countries),3.2
2012,Poland,Share of exports by Member State (%),Total - all products,European Union (28 countries),3.9
2012,Portugal,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.1
2012,Romania,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.1
2012,Slovenia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.7
2012,Slovakia,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.9
2012,Finland,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.1
2012,Sweden,Share of exports by Member State (%),Total - all products,European Union (28 countries),2.7
2012,United Kingdom,Share of exports by Member State (%),Total - all products,European Union (28 countries),6.5
2013,Belgium,Share of exports by Member State (%),Total - all products,European Union (28 countries),8.7
2013,Bulgaria,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.5
2013,Czech Republic,Share of exports by Member State (%),Total - all products,European Union (28 countries),3.5
2013,Denmark,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.9
2013,Germany (until 1990 former territory of the FRG),Share of exports by Member State (%),Total - all products,European Union (28 countries),21.8
2013,Estonia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.3
2013,Ireland,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.8
2013,Greece,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.5
2013,Spain,Share of exports by Member State (%),Total - all products,European Union (28 countries),5.3
2013,France,Share of exports by Member State (%),Total - all products,European Union (28 countries),9.2
2013,Croatia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.2
2013,Italy,Share of exports by Member State (%),Total - all products,European Union (28 countries),7.4
2013,Cyprus,Share of exports by Member State (%),Total - all products,European Union (28 countries),0
2013,Latvia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.3
2013,Lithuania,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.5
2013,Luxembourg,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.4
2013,Hungary,Share of exports by Member State (%),Total - all products,European Union (28 countries),2.2
2013,Malta,Share of exports by Member State (%),Total - all products,European Union (28 countries),0
2013,Netherlands,Share of exports by Member State (%),Total - all products,European Union (28 countries),13.5
2013,Austria,Share of exports by Member State (%),Total - all products,European Union (28 countries),3.3
2013,Poland,Share of exports by Member State (%),Total - all products,European Union (28 countries),4.1
2013,Portugal,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.2
2013,Romania,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.2
2013,Slovenia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.7
2013,Slovakia,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.9
2013,Finland,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.1
2013,Sweden,Share of exports by Member State (%),Total - all products,European Union (28 countries),2.6
2013,United Kingdom,Share of exports by Member State (%),Total - all products,European Union (28 countries),6.2
2014,Belgium,Share of exports by Member State (%),Total - all products,European Union (28 countries),8.6
2014,Bulgaria,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.5
2014,Czech Republic,Share of exports by Member State (%),Total - all products,European Union (28 countries),3.7
2014,Denmark,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.8
2014,Germany (until 1990 former territory of the FRG),Share of exports by Member State (%),Total - all products,European Union (28 countries),22.1
2014,Estonia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.3
2014,Ireland,Share of exports by Member State (%),Total - all products,European Union (28 countries),1.7
2014,Greece,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.4
2014,Spain,Share of exports by Member State (%),Total - all products,European Union (28 countries),5.3
2014,France,Share of exports by Member State (%),Total - all products,European Union (28 countries),9
2014,Croatia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.2
2014,Italy,Share of exports by Member State (%),Total - all products,European Union (28 countries),7.5
2014,Cyprus,Share of exports by Member State (%),Total - all products,European Union (28 countries),0
2014,Latvia,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.3
2014,Lithuania,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.5
2014,Luxembourg,Share of exports by Member State (%),Total - all products,European Union (28 countries),0.4
2014,Hungary,Share of exports by Member State (%),Total - all products,European Union (28 countries),2.3
2014,Malta,Share of exports by Member State (%),Total - all products,European Union (28 countries),0
