month ,swiss.franc,uk.pound
2005Sep,1.5496,0.6776
2005Aug,1.5528,0.68527
2005Jul,1.5578,0.68756
2005Jun,1.5391,0.66895
2005May,1.5449,0.68399
2005Apr,1.5475,0.68293
2005Mar,1.5494,0.69233
2005Feb,1.5501,0.68968
2005Jan,1.5469,0.69867
2004Dec,1.5364,0.695
2004Nov,1.5216,0.69862
2004Oct,1.5426,0.69144
2004Sep,1.5431,0.6813
2004Aug,1.5387,0.66942
2004Jul,1.527,0.66576
2004Jun,1.5192,0.66428
2004May,1.54,0.67157
2004Apr,1.5547,0.66533
2004Mar,1.567,0.67124
2004Feb,1.5734,0.6769
2004Jan,1.5657,0.69215
2003Dec,1.5544,0.70196
2003Nov,1.559,0.69278
2003Oct,1.5485,0.69763
2003Sep,1.5474,0.69693
2003Aug,1.54,0.69919
2003Jul,1.5476,0.70045
2003Jun,1.5411,0.70224
2003May,1.5155,0.71322
2003Apr,1.4964,0.68902
2003Mar,1.4695,0.68255
2003Feb,1.4674,0.66977
2003Jan,1.4621,0.65711
2002Dec,1.4679,0.64218
2002Nov,1.4673,0.63709
2002Oct,1.465,0.62994
2002Sep,1.4649,0.63059
2002Aug,1.4636,0.63633
2002Jul,1.4624,0.6387
2002Jun,1.4721,0.64405
2002May,1.4572,0.62823
2002Apr,1.4658,0.61407
2002Mar,1.4678,0.61574
2002Feb,1.4775,0.6116
2002Jan,1.4745,0.61659
2001Dec,1.4749,0.62012
2001Nov,1.4663,0.61838
2001Oct,1.4793,0.62393
2001Sep,1.4913,0.62291
2001Aug,1.5144,0.62672
2001Jul,1.5135,0.60857
2001Jun,1.5225,0.6089
2001May,1.5334,0.61328
2001Apr,1.5287,0.62168
2001Mar,1.5355,0.62915
2001Feb,1.5358,0.634
2001Jan,1.5291,0.6348
2000Dec,1.5137,0.61342
2000Nov,1.5216,0.60039
2000Oct,1.513,0.58933
2000Sep,1.5307,0.60773
2000Aug,1.5506,0.6071
2000Jul,1.5505,0.62304
2000Jun,1.5608,0.62927
2000May,1.5562,0.60151
2000Apr,1.574,0.59802
2000Mar,1.6042,0.61063
2000Feb,1.6069,0.61466
2000Jan,1.6103,0.61834
1999Dec,1.6012,0.62651
1999Nov,1.6051,0.63702
1999Oct,1.5943,0.64587
1999Sep,1.6015,0.64683
1999Aug,1.6004,0.66014
1999Jul,1.604,0.65779
1999Jun,1.5951,0.65025
1999May,1.6025,0.65825
1999Apr,1.6015,0.66502
1999Mar,1.5954,0.67127
1999Feb,1.5979,0.68851
1999Jan,1.6055,0.70291
