TIME,GEO,NA_ITEM,SECTOR,UNIT,Value
2000Q2,Croatia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP), 
2000Q2,Italy,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),109.3
2000Q2,Cyprus,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),54.4
2000Q2,Latvia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),13
2000Q2,Lithuania,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),24.4
2000Q2,Luxembourg,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP), 
2000Q2,Hungary,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),57.6
2000Q2,Malta,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP), 
2000Q2,Netherlands,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),56.3
2000Q2,Austria,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),70.4
2000Q2,Poland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP), 
2000Q2,Portugal,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),50.8
2000Q2,Romania,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),22.8
2000Q2,Slovenia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),24.7
2000Q2,Slovakia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),50.9
2000Q2,Finland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),43.9
2000Q2,Sweden,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),52.9
2000Q2,United Kingdom,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),38.4
2000Q2,Iceland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP), 
2000Q2,Norway,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),22.7
2000Q3,European Union (28 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),61.9
2000Q3,European Union (27 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),61.9
2000Q3,European Union (25 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),62.1
2000Q3,Euro area (19 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),69.6
2000Q3,Euro area (18 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),69.6
2000Q3,Euro area (17 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),69.7
2000Q3,Euro area (16 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),69.8
2000Q3,Belgium,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),113.7
2000Q3,Bulgaria,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),77.7
2000Q3,Czech Republic,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),15.9
2000Q3,Denmark,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),55.8
2000Q3,Germany (until 1990 former territory of the FRG),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),59.6
2000Q3,Estonia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),5.5
2000Q3,Ireland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),39.6
2000Q3,Greece,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),105.7
2000Q3,Spain,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),58.3
2000Q3,France,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),58.8
2000Q3,Croatia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP), 
2000Q3,Italy,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),108.1
2000Q3,Cyprus,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),51.7
2000Q3,Latvia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),12.2
2000Q3,Lithuania,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),23.9
2000Q3,Luxembourg,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP), 
2000Q3,Hungary,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),55.5
2000Q3,Malta,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP), 
2000Q3,Netherlands,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),55.2
2000Q3,Austria,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),71
2000Q3,Poland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP), 
2000Q3,Portugal,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),50.9
2000Q3,Romania,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),21.8
2000Q3,Slovenia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),24.7
2000Q3,Slovakia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),50.1
2000Q3,Finland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),44.5
2000Q3,Sweden,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),51.1
2000Q3,United Kingdom,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),37.1
2000Q3,Iceland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP), 
2000Q3,Norway,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),24.4
2000Q4,European Union (28 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),60.1
2000Q4,European Union (27 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),60.2
2000Q4,European Union (25 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),60.3
2000Q4,Euro area (19 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),68.1
2000Q4,Euro area (18 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),68.1
2000Q4,Euro area (17 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),68.2
2000Q4,Euro area (16 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),68.3
2000Q4,Belgium,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),108.8
2000Q4,Bulgaria,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),71.2
2000Q4,Czech Republic,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),17
2000Q4,Denmark,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),52.4
2000Q4,Germany (until 1990 former territory of the FRG),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),58.9
2000Q4,Estonia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),5.1
2000Q4,Ireland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),36.1
2000Q4,Greece,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),104.9
2000Q4,Spain,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),58
2000Q4,France,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),58.6
2000Q4,Croatia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),35.5
2000Q4,Italy,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),105.1
2000Q4,Cyprus,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),54.9
2000Q4,Latvia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),12.1
2000Q4,Lithuania,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),23.5
2000Q4,Luxembourg,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),6.5
2000Q4,Hungary,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),55.1
2000Q4,Malta,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),60.9
2000Q4,Netherlands,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),51.8
2000Q4,Austria,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),65.9
2000Q4,Poland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP), 
2000Q4,Portugal,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),50.3
2000Q4,Romania,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),22.4
2000Q4,Slovenia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),25.9
2000Q4,Slovakia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),49.6
2000Q4,Finland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),42.5
2000Q4,Sweden,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),50.7
2000Q4,United Kingdom,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),37.3
2000Q4,Iceland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP), 
2000Q4,Norway,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),28
2001Q1,European Union (28 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),59.8
2001Q1,European Union (27 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),59.8
2001Q1,European Union (25 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),60
2001Q1,Euro area (19 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),67.8
2001Q1,Euro area (18 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),67.9
2001Q1,Euro area (17 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),68
2001Q1,Euro area (16 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),68
2001Q1,Belgium,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),110.6
2001Q1,Bulgaria,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),71.1
2001Q1,Czech Republic,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),18
2001Q1,Denmark,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),50.8
2001Q1,Germany (until 1990 former territory of the FRG),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),57.8
2001Q1,Estonia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),4.9
2001Q1,Ireland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),34.5
2001Q1,Greece,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),107.1
2001Q1,Spain,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),56.6
2001Q1,France,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),57.7
2001Q1,Croatia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),38.8
2001Q1,Italy,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),106.4
2001Q1,Cyprus,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),56.2
2001Q1,Latvia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),12.9
2001Q1,Lithuania,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),24.3
2001Q1,Luxembourg,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),6.3
2001Q1,Hungary,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),54.1
2001Q1,Malta,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),62.4
2001Q1,Netherlands,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),51.1
2001Q1,Austria,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),69.5
2001Q1,Poland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP), 
2001Q1,Portugal,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),50.1
2001Q1,Romania,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),23.7
2001Q1,Slovenia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),26.6
2001Q1,Slovakia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),49
2001Q1,Finland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),42.3
2001Q1,Sweden,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),53.2
2001Q1,United Kingdom,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),35.4
2001Q1,Iceland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP), 
2001Q1,Norway,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),28.6
2001Q2,European Union (28 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),60.1
2001Q2,European Union (27 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),60.1
2001Q2,European Union (25 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),60.3
2001Q2,Euro area (19 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),68
2001Q2,Euro area (18 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),68
2001Q2,Euro area (17 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),68.1
2001Q2,Euro area (16 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),68.2
2001Q2,Belgium,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),111.2
2001Q2,Bulgaria,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),71.3
2001Q2,Czech Republic,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),20.1
2001Q2,Denmark,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),50.9
2001Q2,Germany (until 1990 former territory of the FRG),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),57.3
2001Q2,Estonia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),4.7
2001Q2,Ireland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),32.9
2001Q2,Greece,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),106
2001Q2,Spain,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),56.1
2001Q2,France,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),58.6
2001Q2,Croatia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),37.6
2001Q2,Italy,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),106.7
2001Q2,Cyprus,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),55.2
2001Q2,Latvia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),12.9
2001Q2,Lithuania,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),23.4
2001Q2,Luxembourg,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),6.4
2001Q2,Hungary,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),51.8
2001Q2,Malta,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),62.8
2001Q2,Netherlands,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),52.2
2001Q2,Austria,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),70.3
2001Q2,Poland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP), 
2001Q2,Portugal,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),51.2
2001Q2,Romania,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),24.7
2001Q2,Slovenia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),28.3
2001Q2,Slovakia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),49.6
2001Q2,Finland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),41.8
2001Q2,Sweden,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),51.6
2001Q2,United Kingdom,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),35.4
2001Q2,Iceland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP), 
2001Q2,Norway,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),24.8
2001Q3,European Union (28 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),59.3
2001Q3,European Union (27 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),59.4
2001Q3,European Union (25 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),59.6
2001Q3,Euro area (19 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),67.5
2001Q3,Euro area (18 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),67.6
2001Q3,Euro area (17 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),67.6
2001Q3,Euro area (16 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),67.7
2001Q3,Belgium,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),111
2001Q3,Bulgaria,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),63.2
2001Q3,Czech Republic,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),22.3
2001Q3,Denmark,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),51.7
2001Q3,Germany (until 1990 former territory of the FRG),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),57.6
2001Q3,Estonia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),4.6
2001Q3,Ireland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),33
2001Q3,Greece,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),103.8
2001Q3,Spain,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),55.2
2001Q3,France,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),58.7
2001Q3,Croatia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),37.9
2001Q3,Italy,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),104.9
2001Q3,Cyprus,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),54.5
2001Q3,Latvia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),12.7
2001Q3,Lithuania,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),23.7
2001Q3,Luxembourg,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),6.5
2001Q3,Hungary,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),51.9
2001Q3,Malta,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),63.9
2001Q3,Netherlands,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),50.8
2001Q3,Austria,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),70.3
2001Q3,Poland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP), 
2001Q3,Portugal,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),52.1
2001Q3,Romania,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),24.2
2001Q3,Slovenia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),26.1
2001Q3,Slovakia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),48.8
2001Q3,Finland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),40.6
2001Q3,Sweden,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),51.9
2001Q3,United Kingdom,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),34.6
2001Q3,Iceland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP), 
2001Q3,Norway,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),25.9
2001Q4,European Union (28 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),59.3
2001Q4,European Union (27 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),59.4
2001Q4,European Union (25 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),59.6
2001Q4,Euro area (19 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),67
2001Q4,Euro area (18 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),67.1
2001Q4,Euro area (17 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),67.2
2001Q4,Euro area (16 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),67.2
2001Q4,Belgium,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),107.6
2001Q4,Bulgaria,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),65
2001Q4,Czech Republic,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),22.8
2001Q4,Denmark,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),48.5
2001Q4,Germany (until 1990 former territory of the FRG),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),57.7
2001Q4,Estonia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),4.8
2001Q4,Ireland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),33.2
2001Q4,Greece,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),107.1
2001Q4,Spain,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),54.2
2001Q4,France,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),58.1
2001Q4,Croatia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),36.5
2001Q4,Italy,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),104.7
2001Q4,Cyprus,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),56.5
2001Q4,Latvia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),13.9
2001Q4,Lithuania,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),22.9
2001Q4,Luxembourg,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),7
2001Q4,Hungary,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),51.7
2001Q4,Malta,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),65.5
2001Q4,Netherlands,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),49.2
2001Q4,Austria,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),66.5
2001Q4,Poland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP), 
2001Q4,Portugal,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),53.4
2001Q4,Romania,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),25.7
2001Q4,Slovenia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),26.1
2001Q4,Slovakia,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),48.3
2001Q4,Finland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),41
2001Q4,Sweden,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),52.1
2001Q4,United Kingdom,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),34.6
2001Q4,Iceland,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP), 
2001Q4,Norway,Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),26.6
2002Q1,European Union (28 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),59.7
2002Q1,European Union (27 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),59.8
2002Q1,European Union (25 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),59.9
2002Q1,Euro area (19 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),67.9
2002Q1,Euro area (18 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),68
2002Q1,Euro area (17 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),68
2002Q1,Euro area (16 countries),Government consolidated gross debt,General government,Percentage of gross domestic product (GDP),68.1
