GEO,TIME,UNIT,SECTOR,NA_ITEM,Value
European Union (27 countries),1996,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,
European Union (27 countries),1997,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,
European Union (27 countries),1998,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,
European Union (27 countries),1999,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,
European Union (27 countries),2000,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,60.2
European Union (27 countries),2001,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,59.4
European Union (27 countries),2002,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,58.9
European Union (27 countries),2003,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,60.4
European Union (27 countries),2004,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,61
European Union (27 countries),2005,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,61.6
European Union (27 countries),2006,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,60.2
European Union (27 countries),2007,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,57.6
European Union (27 countries),2008,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,60.8
European Union (27 countries),2009,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,72.9
European Union (27 countries),2010,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,78.5
European Union (27 countries),2011,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,81.2
European Union (27 countries),2012,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,83.8
European Union (27 countries),2013,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,85.7
European Union (27 countries),2014,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,86.7
European Union (27 countries),2015,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,85
European Union (25 countries),1995,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,
European Union (25 countries),1996,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,
European Union (25 countries),1997,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,
European Union (25 countries),1998,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,
European Union (25 countries),1999,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,
European Union (25 countries),2000,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,60.3
European Union (25 countries),2001,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,59.6
European Union (25 countries),2002,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,59.1
European Union (25 countries),2003,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,60.7
European Union (25 countries),2004,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,61.3
European Union (25 countries),2005,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,62
European Union (25 countries),2006,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,60.7
European Union (25 countries),2007,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,58.2
European Union (25 countries),2008,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,61.5
European Union (25 countries),2009,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,73.6
European Union (25 countries),2010,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,79.1
European Union (25 countries),2011,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,81.9
European Union (25 countries),2012,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,84.5
European Union (25 countries),2013,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,86.4
European Union (25 countries),2014,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,87.5
European Union (25 countries),2015,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,85.7
Euro area (19 countries),1995,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,70.8
Euro area (19 countries),1996,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,72.7
Euro area (19 countries),1997,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,72.2
Euro area (19 countries),1998,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,71.8
Euro area (19 countries),1999,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,70.6
Euro area (19 countries),2000,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,68.1
Euro area (19 countries),2001,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,67
Euro area (19 countries),2002,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,66.9
Euro area (19 countries),2003,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,68.1
Euro area (19 countries),2004,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,68.4
Euro area (19 countries),2005,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,69.2
Euro area (19 countries),2006,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,67.4
Euro area (19 countries),2007,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,65
Euro area (19 countries),2008,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,68.6
Euro area (19 countries),2009,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,78.4
Euro area (19 countries),2010,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,83.8
Euro area (19 countries),2011,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,86.1
Euro area (19 countries),2012,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,89.5
Euro area (19 countries),2013,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,91.3
Euro area (19 countries),2014,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,92
Euro area (19 countries),2015,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,90.4
Euro area (18 countries),1995,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,70.9
Euro area (18 countries),1996,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,72.8
Euro area (18 countries),1997,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,72.3
Euro area (18 countries),1998,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,71.9
Euro area (18 countries),1999,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,70.7
Euro area (18 countries),2000,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,68.1
Euro area (18 countries),2001,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,67.1
Euro area (18 countries),2002,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,67
Euro area (18 countries),2003,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,68.2
Euro area (18 countries),2004,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,68.6
Euro area (18 countries),2005,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,69.3
Euro area (18 countries),2006,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,67.5
Euro area (18 countries),2007,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,65.1
Euro area (18 countries),2008,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,68.8
Euro area (18 countries),2009,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,78.5
Euro area (18 countries),2010,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,84
Euro area (18 countries),2011,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,86.2
Euro area (18 countries),2012,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,89.6
Euro area (18 countries),2013,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,91.5
Euro area (18 countries),2014,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,92.2
Euro area (18 countries),2015,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,90.5
Euro area (17 countries),1995,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,70.9
Euro area (17 countries),1996,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,72.8
Euro area (17 countries),1997,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,72.3
Euro area (17 countries),1998,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,72
Euro area (17 countries),1999,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,70.7
Euro area (17 countries),2000,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,68.2
Euro area (17 countries),2001,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,67.2
Euro area (17 countries),2002,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,67.1
Euro area (17 countries),2003,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,68.3
Euro area (17 countries),2004,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,68.6
Euro area (17 countries),2005,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,69.4
Euro area (17 countries),2006,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,67.6
Euro area (17 countries),2007,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,65.2
Euro area (17 countries),2008,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,68.9
Euro area (17 countries),2009,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,78.6
Euro area (17 countries),2010,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,84.1
Euro area (17 countries),2011,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,86.3
Euro area (17 countries),2012,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,89.7
Euro area (17 countries),2013,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,91.7
Euro area (17 countries),2014,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,92.3
Euro area (17 countries),2015,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,90.7
Belgium,1995,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,130.5
Belgium,1996,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,128
Belgium,1997,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,123.2
Belgium,1998,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,118.2
Belgium,1999,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,114.4
Belgium,2000,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,108.8
Belgium,2001,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,107.6
Belgium,2002,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,104.7
Belgium,2003,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,101.1
Belgium,2004,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,96.5
Belgium,2005,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,94.6
Belgium,2006,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,91
Belgium,2007,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,87
Belgium,2008,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,92.5
Belgium,2009,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,99.5
Belgium,2010,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,99.7
Belgium,2011,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,102.3
Belgium,2012,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,104.1
Belgium,2013,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,105.4
Belgium,2014,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,106.5
Belgium,2015,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,105.8
Bulgaria,1995,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,
Bulgaria,1996,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,
Bulgaria,1997,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,97.3
Bulgaria,1998,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,69.3
Bulgaria,1999,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,76.1
Bulgaria,2000,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,71.2
Bulgaria,2001,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,65
Bulgaria,2002,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,51.4
Bulgaria,2003,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,43.7
Bulgaria,2004,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,36
Bulgaria,2005,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,26.8
Bulgaria,2006,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,21
Bulgaria,2007,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,16.3
Bulgaria,2008,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,13
Bulgaria,2009,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,13.7
Bulgaria,2010,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,15.3
Bulgaria,2011,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,15.2
Bulgaria,2012,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,16.7
Bulgaria,2013,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,17
Bulgaria,2014,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,27
Bulgaria,2015,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,26
Czech Republic,1995,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,13.6
Czech Republic,1996,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,11.6
Czech Republic,1997,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,12.1
Czech Republic,1998,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,13.9
Czech Republic,1999,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,15.2
Czech Republic,2000,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,17
Czech Republic,2001,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,22.8
Czech Republic,2002,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,25.9
Czech Republic,2003,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,28.1
Czech Republic,2004,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,28.5
Czech Republic,2005,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,28
Czech Republic,2006,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,27.9
Czech Republic,2007,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,27.8
Czech Republic,2008,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,28.7
Czech Republic,2009,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,34.1
Czech Republic,2010,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,38.2
Czech Republic,2011,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,39.8
Czech Republic,2012,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,44.5
Czech Republic,2013,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,44.9
Czech Republic,2014,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,42.2
Czech Republic,2015,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,40.3
Denmark,1995,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,
Denmark,1996,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,
Denmark,1997,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,
Denmark,1998,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,
Denmark,1999,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,
Denmark,2000,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,52.4
Denmark,2001,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,48.5
Denmark,2002,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,49.1
Denmark,2003,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,46.2
Denmark,2004,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,44.2
Denmark,2005,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,37.4
Denmark,2006,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,31.5
Denmark,2007,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,27.3
Denmark,2008,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,33.4
Denmark,2009,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,40.4
Denmark,2010,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,42.9
Denmark,2011,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,46.4
Denmark,2012,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,45.2
Denmark,2013,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,44.7
Denmark,2014,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,44.8
Denmark,2015,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,40.4
Germany (until 1990 former territory of the FRG),1995,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,54.7
Germany (until 1990 former territory of the FRG),1996,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,57.5
Germany (until 1990 former territory of the FRG),1997,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,58.7
Germany (until 1990 former territory of the FRG),1998,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,59.5
Germany (until 1990 former territory of the FRG),1999,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,60
Germany (until 1990 former territory of the FRG),2000,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,58.9
Germany (until 1990 former territory of the FRG),2001,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,57.7
Germany (until 1990 former territory of the FRG),2002,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,59.4
Germany (until 1990 former territory of the FRG),2003,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,63.1
Germany (until 1990 former territory of the FRG),2004,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,64.8
Germany (until 1990 former territory of the FRG),2005,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,67
Germany (until 1990 former territory of the FRG),2006,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,66.5
Germany (until 1990 former territory of the FRG),2007,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,63.7
Germany (until 1990 former territory of the FRG),2008,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,65.1
Germany (until 1990 former territory of the FRG),2009,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,72.6
Germany (until 1990 former territory of the FRG),2010,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,81
Germany (until 1990 former territory of the FRG),2011,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,78.7
Germany (until 1990 former territory of the FRG),2012,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,79.9
Germany (until 1990 former territory of the FRG),2013,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,77.5
Germany (until 1990 former territory of the FRG),2014,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,74.9
Germany (until 1990 former territory of the FRG),2015,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,71.2
Estonia,1995,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,8.2
Estonia,1996,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,7.5
Estonia,1997,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,7
Estonia,1998,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,6
Estonia,1999,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,6.5
Estonia,2000,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,5.1
Estonia,2001,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,4.8
Estonia,2002,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,5.7
Estonia,2003,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,5.6
Estonia,2004,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,5.1
Estonia,2005,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,4.5
Estonia,2006,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,4.4
Estonia,2007,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,3.7
Estonia,2008,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,4.5
Estonia,2009,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,7
Estonia,2010,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,6.6
Estonia,2011,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,6.1
Estonia,2012,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,9.7
Estonia,2013,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,10.2
Estonia,2014,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,10.7
Estonia,2015,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,10.1
Ireland,1995,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,78.6
Ireland,1996,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,69.9
Ireland,1997,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,61.6
Ireland,1998,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,51.5
Ireland,1999,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,46.6
Ireland,2000,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,36.1
Ireland,2001,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,33.2
Ireland,2002,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,30.6
Ireland,2003,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,29.9
Ireland,2004,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,28.2
Ireland,2005,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,26.1
Ireland,2006,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,23.6
Ireland,2007,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,23.9
Ireland,2008,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,42.4
Ireland,2009,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,61.7
Ireland,2010,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,86.3
Ireland,2011,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,109.6
Ireland,2012,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,119.5
Ireland,2013,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,119.5
Ireland,2014,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,105.2
Ireland,2015,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,78.6
Greece,1995,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,99
Greece,1996,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,101.3
Greece,1997,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,99.5
Greece,1998,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,97.4
Greece,1999,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,98.9
Greece,2000,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,104.9
Greece,2001,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,107.1
Greece,2002,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,104.9
Greece,2003,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,101.5
Greece,2004,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,102.9
Greece,2005,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,107.4
Greece,2006,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,103.6
Greece,2007,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,103.1
Greece,2008,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,109.4
Greece,2009,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,126.7
Greece,2010,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,146.2
Greece,2011,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,172.1
Greece,2012,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,159.6
Greece,2013,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,177.4
Greece,2014,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,179.7
Greece,2015,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,177.4
Spain,1995,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,61.7
Spain,1996,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,65.6
Spain,1997,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,64.4
Spain,1998,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,62.5
Spain,1999,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,60.9
Spain,2000,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,58
Spain,2001,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,54.2
Spain,2002,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,51.3
Spain,2003,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,47.6
Spain,2004,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,45.3
Spain,2005,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,42.3
Spain,2006,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,38.9
Spain,2007,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,35.5
Spain,2008,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,39.4
Spain,2009,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,52.7
Spain,2010,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,60.1
Spain,2011,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,69.5
Spain,2012,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,85.7
Spain,2013,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,95.4
Spain,2014,Percentage of gross domestic product (GDP),General government,Government consolidated gross debt,100.4
