DATE,GDPCTPI
1995-10-01,75.908
1996-01-01,76.296
1996-04-01,76.584
1996-07-01,76.932
1996-10-01,77.257
1997-01-01,77.637
1997-04-01,77.998
1997-07-01,78.225
1997-10-01,78.493
1998-01-01,78.606
1998-04-01,78.786
1998-07-01,79.071
1998-10-01,79.278
1999-01-01,79.575
1999-04-01,79.908
1999-07-01,80.191
1999-10-01,80.585
2000-01-01,81.184
2000-04-01,81.631
2000-07-01,82.154
2000-10-01,82.591
2001-01-01,83.117
2001-04-01,83.699
2001-07-01,83.970
2001-10-01,84.233
2002-01-01,84.480
2002-04-01,84.829
2002-07-01,85.204
2002-10-01,85.649
2003-01-01,86.184
2003-04-01,86.463
2003-07-01,86.932
2003-10-01,87.363
2004-01-01,88.115
2004-04-01,88.856
2004-07-01,89.438
2004-10-01,90.063
2005-01-01,90.894
2005-04-01,91.549
2005-07-01,92.399
2005-10-01,93.098
2006-01-01,93.816
2006-04-01,94.589
2006-07-01,95.250
2006-10-01,95.591
2007-01-01,96.659
2007-04-01,97.216
2007-07-01,97.538
2007-10-01,97.945
2008-01-01,98.506
2008-04-01,98.941
2008-07-01,99.619
2008-10-01,99.805
2009-01-01,100.045
2009-04-01,99.889
2009-07-01,99.882
2009-10-01,100.183
2010-01-01,100.517
2010-04-01,100.981
2010-07-01,101.444
2010-10-01,101.963
2011-01-01,102.409
2011-04-01,103.170
2011-07-01,103.770
2011-10-01,103.913
2012-01-01,104.466
2012-04-01,104.930
2012-07-01,105.547
2012-10-01,105.937
2013-01-01,106.318
2013-04-01,106.565
2013-07-01,107.112
2013-10-01,107.674
2014-01-01,108.103
2014-04-01,108.694
2014-07-01,109.200
2014-10-01,109.359
2015-01-01,109.322
2015-04-01,109.921
2015-07-01,110.298
2015-10-01,110.507
2016-01-01,110.588
2016-04-01,111.257
2016-07-01,111.641
2016-10-01,112.190
2017-01-01,112.752
2017-04-01,113.037
2017-07-01,113.626
