Entity,Code,Year,"Military expenditure (1914-2007, real prices) (Correlates of War: National Material Capabilities (v4.0)) (US-$)"
Albania,ALB,1947,79145509.69999999
Albania,ALB,1948,83539842.65
Albania,ALB,1949,95035817.38
Albania,ALB,1950,112353080
Albania,ALB,1951,111324781.9
Albania,ALB,1952,111916333.3
Albania,ALB,1953,123045666.89999999
Albania,ALB,1954,151496500
Albania,ALB,1955,166011449.9
Albania,ALB,1956,174406868.9
Albania,ALB,1957,184860642.8
Albania,ALB,1958,192812413.5
Albania,ALB,1959,199637750
Albania,ALB,1960,245754326.1
Albania,ALB,1961,274523828
Albania,ALB,1962,282257298.5
Albania,ALB,1963,326016357.7
Albania,ALB,1964,368036929.8
Albania,ALB,1965,363652908
Albania,ALB,1966,390759661.5
Albania,ALB,1967,379735392.1
Albania,ALB,1968,384255825
Albania,ALB,1969,358862868.8
Albania,ALB,1970,352285102.7
Albania,ALB,1971,395490388.90000004
Albania,ALB,1972,384253581.3
Albania,ALB,1973,388091446.5
Albania,ALB,1974,357217305.2
Albania,ALB,1975,344371473.9
Albania,ALB,1976,335731671.4
Albania,ALB,1977,321372807.3
Albania,ALB,1978,336182407.2
Albania,ALB,1979,337366282.2
Albania,ALB,1980,316365168.3
Albania,ALB,1981,317804760.9
Albania,ALB,1982,249123269.39999998
Albania,ALB,1983,199618342
Albania,ALB,1984,191918154
Albania,ALB,1985,270234138.7
Albania,ALB,1986,236695753.39999998
Albania,ALB,1987,268490906.7
Albania,ALB,1988,207433526.9
Albania,ALB,1989,212769016.89999998
Albania,ALB,1990,209968069.5
Albania,ALB,1991,122467088.39999999
Albania,ALB,1992,40266161.26
Albania,ALB,1993,119009688.6
Albania,ALB,1994,108202669.7
Albania,ALB,1995,96763276.69
Albania,ALB,1996,109969621.89999999
Albania,ALB,1997,98675298.03999999
Albania,ALB,1998,105919097.1
Albania,ALB,1999,143182215.6
Albania,ALB,2000,113000000
Albania,ALB,2001,103645850.69999999
Albania,ALB,2002,56814557.86
Albania,ALB,2003,71750518.79
Albania,ALB,2004,96481710.05
Albania,ALB,2005,103263833
Albania,ALB,2006,121785571.1
Albania,ALB,2007,166573042.9
Algeria,DZA,1962,297532140.9
Algeria,DZA,1963,359428745.2
Algeria,DZA,1964,442442264
Algeria,DZA,1965,434634459.4
Algeria,DZA,1966,422655454.5
Algeria,DZA,1967,410695522.5
Algeria,DZA,1968,393973067.90000004
Algeria,DZA,1969,375585230.6
Algeria,DZA,1970,356632926.3
Algeria,DZA,1971,340250555.6
Algeria,DZA,1972,365561156.1
Algeria,DZA,1973,427970073.3
Algeria,DZA,1974,742536861.7
Algeria,DZA,1975,807728908.8
Algeria,DZA,1976,955149809.9
Algeria,DZA,1977,1082959129
Algeria,DZA,1978,1310157239
Algeria,DZA,1979,1463095299
Algeria,DZA,1980,1642339193
Algeria,DZA,1981,1369817844
Algeria,DZA,1982,1347668164
Algeria,DZA,1983,1429593605
Algeria,DZA,1984,1373602517
Algeria,DZA,1985,1363831883
Algeria,DZA,1986,1626582192
Algeria,DZA,1987,1640808148
Algeria,DZA,1988,1387294288
Algeria,DZA,1989,1086101258
Algeria,DZA,1990,1108709900
Algeria,DZA,1991,783295652.2
Algeria,DZA,1992,2204775400
Algeria,DZA,1993,1268303253
Algeria,DZA,1994,1449360889
Algeria,DZA,1995,1551474110
Algeria,DZA,1996,1964505867
Algeria,DZA,1997,2219144469
Algeria,DZA,1998,3245070378
Algeria,DZA,1999,3156145123
Algeria,DZA,2000,2989000000
Algeria,DZA,2001,3079064000
Algeria,DZA,2002,2020287159
Algeria,DZA,2003,2082653217
Algeria,DZA,2004,2577439969
Algeria,DZA,2005,2561121100
Algeria,DZA,2006,2674100200
Algeria,DZA,2007,3592257037
Angola,AGO,1975,381258531.9
Angola,AGO,1979,1064439250
Angola,AGO,1980,1259428713
Angola,AGO,1981,1161553616
Angola,AGO,1982,1241293801
Angola,AGO,1983,860796000.4
Angola,AGO,1985,1407309121
Angola,AGO,1986,1528426370
Angola,AGO,1987,1119851561
Angola,AGO,1988,1082089545
Angola,AGO,1989,3421091784
Angola,AGO,1990,3350658679
Angola,AGO,1991,639649910.9
Angola,AGO,1993,1246768166
Angola,AGO,1994,581519989.1999999
Angola,AGO,1995,434891131.2
Angola,AGO,1996,491126466.8
Angola,AGO,1997,801999230.9
Angola,AGO,1998,1011423535
Angola,AGO,1999,1027843762
Angola,AGO,2000,2000000000
Angola,AGO,2001,1437352836
Angola,AGO,2002,962958607.7
Angola,AGO,2003,345535393.09999996
Angola,AGO,2004,880280745.0999999
Angola,AGO,2005,1058454289.0000001
Angola,AGO,2006,1371599198
Angola,AGO,2007,1904653380
Antigua and Barbuda,ATG,1990,4783151.116
Antigua and Barbuda,ATG,1994,3329312.915
Antigua and Barbuda,ATG,1995,3261683.484
Antigua and Barbuda,ATG,1996,4270664.928
Antigua and Barbuda,ATG,1997,3149211.64
Antigua and Barbuda,ATG,1998,4153690.084
Antigua and Barbuda,ATG,1999,4090920.4450000003
Antigua and Barbuda,ATG,2000,4000000
Antigua and Barbuda,ATG,2001,3911164.179
Antigua and Barbuda,ATG,2002,3851834.4310000003
Antigua and Barbuda,ATG,2003,3776343.094
Antigua and Barbuda,ATG,2004,3675493.716
Antigua and Barbuda,ATG,2005,4451027.285999999
Antigua and Barbuda,ATG,2006,4318637.275
Antigua and Barbuda,ATG,2007,4206389.973
Argentina,ARG,1914,168844949.7
Argentina,ARG,1915,287234011
Argentina,ARG,1916,124161709.5
Argentina,ARG,1917,109480345.4
Argentina,ARG,1918,97066310.01
Argentina,ARG,1920,190447093.3
Argentina,ARG,1921,230179674.8
Argentina,ARG,1922,226514345.39999998
Argentina,ARG,1923,354516144.90000004
Argentina,ARG,1924,312591308.59999996
Argentina,ARG,1925,378249910
Argentina,ARG,1926,485377690.2
Argentina,ARG,1927,420496793.9
Argentina,ARG,1928,405985423.1
Argentina,ARG,1929,387430688.90000004
Argentina,ARG,1930,518816927.7
Argentina,ARG,1931,427417911.1
Argentina,ARG,1932,382898116.6
Argentina,ARG,1933,479351749.7
Argentina,ARG,1934,407410674.79999995
Argentina,ARG,1935,467766860.90000004
Argentina,ARG,1936,596140797.8
Argentina,ARG,1937,806125552.8
Argentina,ARG,1938,422677607.9
Argentina,ARG,1939,600771114.4
Argentina,ARG,1940,704153274.3000001
Argentina,ARG,1941,733830630.2
Argentina,ARG,1942,859075915.7
Argentina,ARG,1943,488278535.2
Argentina,ARG,1944,1828392239
Argentina,ARG,1945,2386062912
Argentina,ARG,1946,1800980977
Argentina,ARG,1947,1793403706
Argentina,ARG,1948,1806252547
Argentina,ARG,1949,2952369677
Argentina,ARG,1950,1908930345
Argentina,ARG,1951,1815081836
Argentina,ARG,1952,2421509728
Argentina,ARG,1953,2718861436
Argentina,ARG,1954,3030106625
Argentina,ARG,1955,2167595670
Argentina,ARG,1956,1532503405
Argentina,ARG,1957,1946441096
Argentina,ARG,1958,1279906981
Argentina,ARG,1959,1200120750
Argentina,ARG,1960,1352089163
Argentina,ARG,1961,1533613860
Argentina,ARG,1962,1853021018
Argentina,ARG,1963,1356626226
Argentina,ARG,1964,1519289077
Argentina,ARG,1965,1877693909
Argentina,ARG,1966,2173934639
Argentina,ARG,1967,1413357676
Argentina,ARG,1968,1218624818
Argentina,ARG,1969,1644728863
Argentina,ARG,1970,1847954390
Argentina,ARG,1971,1635956278
Argentina,ARG,1972,1399240465
Argentina,ARG,1973,1455257428
Argentina,ARG,1974,2051818149
Argentina,ARG,1975,1640972715
Argentina,ARG,1976,1414577960
Argentina,ARG,1977,2378417448
Argentina,ARG,1978,3248552343
Argentina,ARG,1979,5313715574
Argentina,ARG,1980,5647487202
Argentina,ARG,1981,6030543650
Argentina,ARG,1982,6590293615
Argentina,ARG,1983,3574464863
Argentina,ARG,1984,3368906178
Argentina,ARG,1985,2702484451
Argentina,ARG,1986,1612559932
Argentina,ARG,1987,1668154951
Argentina,ARG,1988,1638328493
Argentina,ARG,1989,1005724678
Argentina,ARG,1990,945567653.1
Argentina,ARG,1991,3228127536
Argentina,ARG,1992,3017061074
Argentina,ARG,1993,3060249135
Argentina,ARG,1994,4148323892
Argentina,ARG,1995,4217356745
Argentina,ARG,1996,4958241982
Argentina,ARG,1997,5219293424
Argentina,ARG,1998,5571136825
Argentina,ARG,1999,5541151742
Argentina,ARG,2000,4776000000
Argentina,ARG,2001,4310102925
Argentina,ARG,2002,1411697319
Argentina,ARG,2003,1422737261
Argentina,ARG,2004,1496844816
Argentina,ARG,2005,1584565714
Argentina,ARG,2006,1617761523
Argentina,ARG,2007,1760794843
Armenia,ARM,1991,174461304.29999998
Armenia,ARM,1992,87030607.91000001
Armenia,ARM,1993,171147266.4
Armenia,ARM,1995,85890998.41
Armenia,ARM,1996,133458279.00000001
Armenia,ARM,1997,144863735.4
Armenia,ARM,1998,156801800.7
Armenia,ARM,1999,162614087.70000002
Armenia,ARM,2000,690000000
Armenia,ARM,2001,622852895.5
Armenia,ARM,2002,674071025.4000001
Armenia,ARM,2003,660860041.5
Armenia,ARM,2004,90049596.05
Armenia,ARM,2005,111275682.10000001
Armenia,ARM,2006,158925851.7
Armenia,ARM,2007,249018286.4
Australia,AUS,1920,87924358.86999999
Australia,AUS,1921,88311647.46
Australia,AUS,1922,260066380.6
Australia,AUS,1923,173872077.5
Australia,AUS,1924,202656902.20000002
Australia,AUS,1925,204741378
Australia,AUS,1926,213933546.8
Australia,AUS,1927,338055289.8
Australia,AUS,1928,198376038.5
Australia,AUS,1929,187586002
Australia,AUS,1930,148037205.5
Australia,AUS,1931,103583666.7
Australia,AUS,1932,92562815.89
Australia,AUS,1933,108362195.9
Australia,AUS,1934,133972040.00000001
Australia,AUS,1935,161750867.3
Australia,AUS,1936,305344398.3
Australia,AUS,1937,359059175.09999996
Australia,AUS,1938,556286545
Australia,AUS,1939,683190751.2
Australia,AUS,1940,1807200494
Australia,AUS,1941,5189561760
Australia,AUS,1942,9025256835
Australia,AUS,1943,15154794260
Australia,AUS,1944,14331305190
Australia,AUS,1945,11812302230
Australia,AUS,1946,7277209114
Australia,AUS,1947,2527376978
Australia,AUS,1948,1429703059
Australia,AUS,1949,1102023519
Australia,AUS,1950,1008527462
Australia,AUS,1951,1642428565
Australia,AUS,1952,2230290834
Australia,AUS,1953,2252725838
Australia,AUS,1954,2046602373
Australia,AUS,1955,2111672589.0000002
Australia,AUS,1956,2111163898
Australia,AUS,1957,1932141122
Australia,AUS,1958,1894106066
Australia,AUS,1959,1933264250
Australia,AUS,1960,1962432011
Australia,AUS,1961,2021478054
Australia,AUS,1962,2089064709
Australia,AUS,1963,2176544758
Australia,AUS,1964,2451199060
Australia,AUS,1965,3060535840
Australia,AUS,1966,3710230217
Australia,AUS,1967,4198118366.9999995
Australia,AUS,1968,4424798929
Australia,AUS,1969,4310789503
Australia,AUS,1970,4258682443
Australia,AUS,1971,4120123976
Australia,AUS,1972,4319107420
Australia,AUS,1973,5511116167
Australia,AUS,1974,6396413633
Australia,AUS,1975,6326352413
Australia,AUS,1976,6811554748
Australia,AUS,1977,6109627867
Australia,AUS,1978,6322365364
Australia,AUS,1979,6238151286
Australia,AUS,1980,6652366810
Australia,AUS,1981,6854356712
Australia,AUS,1982,6407704183
Australia,AUS,1983,8348142726
Australia,AUS,1984,6633020614
Australia,AUS,1985,6681102376
Australia,AUS,1986,6702640411
Australia,AUS,1987,7383636667
Australia,AUS,1988,8350190384
Australia,AUS,1989,7846890822
Australia,AUS,1990,8916284259
Australia,AUS,1991,8984163768
Australia,AUS,1992,8354938359
Australia,AUS,1993,8274006920
Australia,AUS,1994,8101328093
Australia,AUS,1995,9131626527
Australia,AUS,1996,9347417862
Australia,AUS,1997,9053983464
Australia,AUS,1998,7977161806
Australia,AUS,1999,7951726614
Australia,AUS,2000,7384000000
Australia,AUS,2001,6602045134
Australia,AUS,2002,8954552093
Australia,AUS,2003,10884364880
Australia,AUS,2004,12778772780
Australia,AUS,2005,13842694860
Australia,AUS,2006,14863022040
Australia,AUS,2007,17007275940.000002
Austria,AUT,1920,38517619.480000004
Austria,AUT,1921,45175450.2
Austria,AUT,1922,154109019.6
Austria,AUT,1923,71839114.69
Austria,AUT,1924,74985222
Austria,AUT,1925,79621647
Austria,AUT,1926,82673011.95
Austria,AUT,1927,99889087.75999999
Austria,AUT,1928,114878076.9
Austria,AUT,1929,116043920.19999999
Austria,AUT,1930,130835155.10000001
Austria,AUT,1931,136799400
Austria,AUT,1932,122997695.39999999
Austria,AUT,1933,134299600
Austria,AUT,1934,207588508.4
Austria,AUT,1935,225772075.9
Austria,AUT,1936,242940333.3
Austria,AUT,1937,386699504.8
Austria,AUT,1938,419274780.5
Austria,AUT,1955,37939910.669999994
Austria,AUT,1956,195945618.4
Austria,AUT,1957,324620232.7
Austria,AUT,1958,367951038.2
Austria,AUT,1959,363375000
Austria,AUT,1960,340696130.40000004
Austria,AUT,1961,336370010.8
Austria,AUT,1962,367324026.3
Austria,AUT,1963,456533354.9
Austria,AUT,1964,587254275.4000001
Austria,AUT,1965,500544961.5
Austria,AUT,1966,571411641.7
Austria,AUT,1967,584679703.4
Austria,AUT,1968,579005567.1
Austria,AUT,1969,585759472.7
Austria,AUT,1970,591886115.8000001
Austria,AUT,1971,589293301.6
Austria,AUT,1972,694930735
Austria,AUT,1973,845357247.5
Austria,AUT,1974,1002111042
Austria,AUT,1975,1191324544
Austria,AUT,1976,1235350753
Austria,AUT,1977,1341663015
Austria,AUT,1978,1614772793
Austria,AUT,1979,1736627210
Austria,AUT,1980,1748504652
Austria,AUT,1981,1181793206
Austria,AUT,1982,1318290742
Austria,AUT,1983,1433324217
Austria,AUT,1984,1170086601
Austria,AUT,1985,1235989633
Austria,AUT,1986,1724738014
Austria,AUT,1987,1977173819
Austria,AUT,1988,1889362698
Austria,AUT,1989,1793211679
Austria,AUT,1990,1888731466
Austria,AUT,1991,1993843478
Austria,AUT,1992,1926277455
Austria,AUT,1993,1960826298
Austria,AUT,1994,1775633555
Austria,AUT,1995,2314708046
Austria,AUT,1996,2239963755
Austria,AUT,1997,1874830663
Austria,AUT,1998,1865006848
Austria,AUT,1999,1734550269
Austria,AUT,2000,1612000000
Austria,AUT,2001,1385529910
Austria,AUT,2002,1475252587
Austria,AUT,2003,1848519945
Austria,AUT,2004,2067465215
Austria,AUT,2005,2014534949
Austria,AUT,2006,2271603206
Austria,AUT,2007,3031124615
Austria-Hungary,OWID_AUH,1914,13852172080
Austria-Hungary,OWID_AUH,1915,25959774800
Austria-Hungary,OWID_AUH,1916,27963833800
Austria-Hungary,OWID_AUH,1917,26542375990
Austria-Hungary,OWID_AUH,1918,16974865890
Azerbaijan,AZE,1991,359010507.2
Azerbaijan,AZE,1992,220315082.9
Azerbaijan,AZE,1993,145078477.5
Azerbaijan,AZE,1994,146489768.29999998
Azerbaijan,AZE,1995,116333377.60000001
Azerbaijan,AZE,1996,141999608.9
Azerbaijan,AZE,1997,153261633.1
Azerbaijan,AZE,1998,204569236.6
Azerbaijan,AZE,1999,207614212.6
Azerbaijan,AZE,2000,830000000
Azerbaijan,AZE,2001,814499940.3000001
Azerbaijan,AZE,2002,866662746.9
Azerbaijan,AZE,2003,896881484.9000001
Azerbaijan,AZE,2004,225123990.1
Azerbaijan,AZE,2005,279524513.5
Azerbaijan,AZE,2006,568332665.3
Azerbaijan,AZE,2007,787436203
Bahamas,BHS,1976,13615326.48
Bahamas,BHS,1977,11185885.03
Bahamas,BHS,1978,10671835.11
Bahamas,BHS,1979,5431171.702
Bahamas,BHS,1980,9226002.704
Bahamas,BHS,1981,11139200.33
Bahamas,BHS,1982,14302542.209999999
Bahamas,BHS,1983,12231516.06
Bahamas,BHS,1984,12696124.030000001
Bahamas,BHS,1985,13734171.909999998
Bahamas,BHS,1986,15564708.9
Bahamas,BHS,1987,19603555.349999998
Bahamas,BHS,1988,102659777.3
Bahamas,BHS,1989,84573458.61
Bahamas,BHS,1990,80577699.57
Bahamas,BHS,1991,56966956.52
Bahamas,BHS,1992,20655264.28
Bahamas,BHS,1994,22195419.430000003
Bahamas,BHS,1995,20657328.73
Bahamas,BHS,1996,23488657.11
Bahamas,BHS,1997,23094218.69
Bahamas,BHS,1998,26998985.540000003
Bahamas,BHS,1999,26590982.89
Bahamas,BHS,2000,30000000
Bahamas,BHS,2001,28355940.299999997
Bahamas,BHS,2002,26962841.02
Bahamas,BHS,2003,31154830.529999997
Bahamas,BHS,2004,31241696.59
Bahamas,BHS,2005,32047396.46
Bahamas,BHS,2006,41458917.84
Bahamas,BHS,2007,48794123.69
Bahrain,BHR,1971,30262357.14
Bahrain,BHR,1972,36624302.64
Bahrain,BHR,1973,45157640.47
Bahrain,BHR,1974,67229692.67999999
Bahrain,BHR,1975,38294542.410000004
Bahrain,BHR,1976,58194380.89
Bahrain,BHR,1977,84215731.92999999
Bahrain,BHR,1978,110187786.39999999
Bahrain,BHR,1979,115999769.8
Bahrain,BHR,1980,291189252.09999996
Bahrain,BHR,1981,363887295.09999996
Bahrain,BHR,1982,446593702.1
Bahrain,BHR,1983,508448833.09999996
Bahrain,BHR,1984,471058680
Bahrain,BHR,1985,216027079
Bahrain,BHR,1986,189076157.5
Bahrain,BHR,1987,196028716.79999998
Bahrain,BHR,1988,217863337.5
Bahrain,BHR,1989,233448181.4
Bahrain,BHR,1990,247644582.9
Bahrain,BHR,1991,281274347.8
Bahrain,BHR,1992,292422842.59999996
Bahrain,BHR,1993,277689273.4
Bahrain,BHR,1994,289650223.6
Bahrain,BHR,1995,296813197
Bahrain,BHR,1996,314961538.5
Bahrain,BHR,1997,382104345.6
Bahrain,BHR,1998,425753233.59999996
Bahrain,BHR,1999,451023979
Bahrain,BHR,2000,322000000
Bahrain,BHR,2001,355915940.3
Bahrain,BHR,2002,319702257.8
Bahrain,BHR,2003,435223541.6
Bahrain,BHR,2004,435546005.40000004
Bahrain,BHR,2005,445102728.59999996
Bahrain,BHR,2006,459503006
Bahrain,BHR,2007,453448839.09999996
Bangladesh,BGD,1973,128101577.8
Bangladesh,BGD,1974,198356411.8
Bangladesh,BGD,1975,197491731.5
Bangladesh,BGD,1976,226791731
Bangladesh,BGD,1977,252059936.79999998
Bangladesh,BGD,1978,245156009.6
Bangladesh,BGD,1979,255840371.9
Bangladesh,BGD,1980,300472456.1
Bangladesh,BGD,1981,258956028
Bangladesh,BGD,1982,381413838.9
Bangladesh,BGD,1983,272007511.9
Bangladesh,BGD,1984,386847946.6
Bangladesh,BGD,1985,242780101.3
Bangladesh,BGD,1986,303932491.4
Bangladesh,BGD,1987,445752880.3
Bangladesh,BGD,1988,417472524.7
Bangladesh,BGD,1989,367544805.1
Bangladesh,BGD,1990,400926179.40000004
Bangladesh,BGD,1991,359971824.59999996
Bangladesh,BGD,1992,411944877.4
Bangladesh,BGD,1993,402366090
Bangladesh,BGD,1994,527141211.5
Bangladesh,BGD,1995,543613914
Bangladesh,BGD,1996,591487092.6
Bangladesh,BGD,1997,622494167.4
Bangladesh,BGD,1998,655244610.6999999
Bangladesh,BGD,1999,682160984.1
Bangladesh,BGD,2000,691000000
Bangladesh,BGD,2001,624808477.6
Bangladesh,BGD,2002,584515874.9000001
Bangladesh,BGD,2003,608935324
Bangladesh,BGD,2004,712126907.5
Bangladesh,BGD,2005,791392651.4
Bangladesh,BGD,2006,810176352.7
Bangladesh,BGD,2007,839595438.7
Barbados,BRB,1971,2052380.952
Barbados,BRB,1972,2622578.062
Barbados,BRB,1973,3108959.757
Barbados,BRB,1974,2853310.105
Barbados,BRB,1975,2611288.265
Barbados,BRB,1976,1980411.125
Barbados,BRB,1977,2330392.715
Barbados,BRB,1978,2177925.532
Barbados,BRB,1979,6034635.225
Barbados,BRB,1980,18452005.41
Barbados,BRB,1981,18565333.88
Barbados,BRB,1982,12713370.85
Barbados,BRB,1983,13760455.56
Barbados,BRB,1984,16239228.41
Barbados,BRB,1985,14306429.07
Barbados,BRB,1986,12620034.25
Barbados,BRB,1987,10938720.99
Barbados,BRB,1988,14533559.209999999
Barbados,BRB,1989,12717813.33
Barbados,BRB,1990,26123363.79
Barbados,BRB,1993,13601107.27
Barbados,BRB,1994,14427022.629999999
Barbados,BRB,1995,15221189.59
Barbados,BRB,1996,14947327.25
Barbados,BRB,1997,12596846.56
Barbados,BRB,1998,13499492.770000001
Barbados,BRB,1999,12272761.33
Barbados,BRB,2000,13000000
Barbados,BRB,2001,12711283.58
Barbados,BRB,2002,12518461.9
Barbados,BRB,2003,22658058.57
Barbados,BRB,2004,22052962.3
Barbados,BRB,2005,23145341.88
Barbados,BRB,2006,23320641.28
Barbados,BRB,2007,23555783.85
Belarus,BLR,1992,1911192150
Belarus,BLR,1993,1055219239
Belarus,BLR,1994,477201517.79999995
Belarus,BLR,1995,539265002.6999999
Belarus,BLR,1996,534900782.29999995
Belarus,BLR,1997,473431483.1
Belarus,BLR,1998,489097007.4
Belarus,BLR,1999,476592231.8
Belarus,BLR,2000,2100000000
Belarus,BLR,2001,1916470448
Belarus,BLR,2002,2311100659
Belarus,BLR,2003,2265805857
Belarus,BLR,2004,201233281
Belarus,BLR,2005,288426568.09999996
Belarus,BLR,2006,402496994
Belarus,BLR,2007,481211012.9
Belgium,BEL,1914,130904355.5
Belgium,BEL,1915,150135965.39999998
Belgium,BEL,1916,225494865.9
Belgium,BEL,1917,222364272.9
Belgium,BEL,1918,223784917.4
Belgium,BEL,1919,272762071.2
Belgium,BEL,1920,259443338.9
Belgium,BEL,1921,314940623
Belgium,BEL,1922,336638188.2
Belgium,BEL,1923,249797453.70000002
Belgium,BEL,1924,213914692.5
Belgium,BEL,1925,236432808
Belgium,BEL,1926,146610831.70000002
Belgium,BEL,1927,148463227.60000002
Belgium,BEL,1928,202197019.20000002
Belgium,BEL,1929,223857481.8
Belgium,BEL,1930,336633137.3
Belgium,BEL,1931,372106244.40000004
Belgium,BEL,1932,363070974.8
Belgium,BEL,1933,533989649
Belgium,BEL,1934,707540166.5
Belgium,BEL,1935,455353952
Belgium,BEL,1936,538684892.6
Belgium,BEL,1937,543792803.4
Belgium,BEL,1938,638408785.5
Belgium,BEL,1939,644272630.6
Belgium,BEL,1940,2915213492
Belgium,BEL,1945,4466936357
Belgium,BEL,1946,6099113640
Belgium,BEL,1947,3638368253
Belgium,BEL,1948,2653982644
Belgium,BEL,1949,1051164884.0000001
Belgium,BEL,1950,994114821.8000001
Belgium,BEL,1951,1485919641
Belgium,BEL,1952,2162650898
Belgium,BEL,1953,2122447275
Belgium,BEL,1954,2138447628
Belgium,BEL,1955,1796422404
Belgium,BEL,1956,1738434616
Belgium,BEL,1957,1799861443
Belgium,BEL,1958,1763491516
Belgium,BEL,1959,1780865250
Belgium,BEL,1960,1797457391
Belgium,BEL,1961,1824015172
Belgium,BEL,1962,1941218700
Belgium,BEL,1963,2022732795
Belgium,BEL,1964,2223360307
Belgium,BEL,1965,2209072522
Belgium,BEL,1966,2257302321
Belgium,BEL,1967,2350652657
Belgium,BEL,1968,2408228900
Belgium,BEL,1969,2376482615
Belgium,BEL,1970,2522287458
Belgium,BEL,1971,2845557778
Belgium,BEL,1972,3365213492
Belgium,BEL,1973,4030713473
Belgium,BEL,1974,4229495808
Belgium,BEL,1975,5033788223
Belgium,BEL,1976,5222529799
Belgium,BEL,1977,5817692580
Belgium,BEL,1978,6896856383
Belgium,BEL,1979,7304929963
Belgium,BEL,1980,7303947715
Belgium,BEL,1981,5713896691
Belgium,BEL,1982,4595301926
Belgium,BEL,1983,4092727959
Belgium,BEL,1984,3620885856
Belgium,BEL,1985,2569434661
Belgium,BEL,1986,4024388699
Belgium,BEL,1987,4799363834
Belgium,BEL,1988,3699451436
Belgium,BEL,1989,3281195838
Belgium,BEL,1990,3765198442
Belgium,BEL,1991,3857137681
Belgium,BEL,1992,3666889613
Belgium,BEL,1993,4533702422
Belgium,BEL,1994,4454620680
Belgium,BEL,1995,4837076606
Belgium,BEL,1996,4626197784
Belgium,BEL,1997,3956459556
Belgium,BEL,1998,3880584961
Belgium,BEL,1999,3520237043
Belgium,BEL,2000,3212000000
Belgium,BEL,2001,2949995582
Belgium,BEL,2002,3038134407
Belgium,BEL,2003,3683822688
Belgium,BEL,2004,3961263353
Belgium,BEL,2005,3783373193
Belgium,BEL,2006,3708845691
Belgium,BEL,2007,4206389973
Belize,BLZ,1981,3375515.2509999997
Belize,BLZ,1982,3178342.713
Belize,BLZ,1983,4586818.521
Belize,BLZ,1984,5905173.968
