 ,Country,DTT7090,GEA7090,LGDPEA70,LINV7089,RL,SOPEN,SXP
49,URUGUAY,-0.95,0.59,8.78,2.66,3,0,0.09
50,VENEZUELA,4.8,-1.85,9.62,3.1,3,0.04,0.24
51,BANGLADESH,-2.75,0.14,7.83,1.14,1,0,0.01
52,CHINA,-0.34,2.25,7.13,3.02,0,0,0.02
53,HONG KONG,-2,5.12,8.94,3.03,6,1,0.03
54,INDIA,-2.02,1.99,7.27,2.65,3,0,0.02
55,INDONESIA,4.62,4.56,7.18,3.07,1,0.77,0.11
56,IRAN,7.68,-1.91,9.16,3.02,1,0,0.12
57,ISRAEL,-0.05,2.22,9.21,3.2,1,0.19,0.04
58,JAPAN,-0.96,3.31,9.27,3.54,6,1,0.01
59,JORDAN,-0.21,2.93,7.93,2.82,1,1,0.09
60,KOREA  REP.,-0.83,5.71,8.03,3.29,3,0.85,0.02
61,PAKISTAN,-2.63,1.15,7.62,2.26,1,0,0.03
62,PHILIPPINES,-2.35,0.68,7.9,2.8,1,0.08,0.13
63,SINGAPORE,1.14,5.77,8.56,3.58,6,1,0.03
64,SRI LANKA,-1.18,1.92,7.73,2.39,2,0.23,0.15
65,SYRIA,6.64,2.4,8.5,2.73,1,0.04,0.08
66,TAIWAN,-0.2,5.77,8.25,3.2,6,1,0.02
67,THAILAND,-1,3.15,8.01,2.87,3,1,0.09
68,AUSTRIA,-0.25,2.16,9.41,3.25,6,1,0.04
69,BELGIUM,-0.26,2.02,9.49,3.1,6,1,0.11
70,CYPRUS,-3.18,3.6,8.76,3.28,0,1,0.14
71,DENMARK,-0.4,1.59,9.62,3.2,6,1,0.1
72,FINLAND,0.46,2.66,9.41,3.52,6,1,0.07
73,FRANCE,0.07,1.77,9.6,3.29,6,1,0.03
74,GERMANY,-0.09,1.68,9.6,3.25,6,1,0.02
75,GREECE,-1.07,2.14,8.8,3.2,3,1,0.04
76,IRELAND,-0.27,2.73,9.07,3.26,5,0.96,0.15
77,ITALY,-0.55,2.19,9.37,3.25,5,1,0.02
78,NETHERLANDS,-0.29,1.25,9.6,3.15,6,1,0.15
79,NORWAY,0.4,2.92,9.46,3.48,6,1,0.1
80,PORTUGAL,1.73,3.75,8.58,3.14,6,1,0.05
81,SPAIN,-0.64,2.12,9.15,3.22,5,1,0.03
82,SWEDEN,0.14,1.66,9.71,3.11,6,1,0.05
83,SWITZERLAND,-0.18,0.99,9.89,3.36,6,1,0.02
84,TURKEY,-1.14,2.09,8.3,3.11,3,0.04,0.04
85,U.K.,-0.14,1.99,9.52,2.9,6,1,0.03
86,AUSTRALIA,-1.51,1.15,9.75,3.31,6,1,0.1
87,NEW ZEALAND,0.27,0.51,9.66,3.17,6,0.15,0.18
88,CHAD,2.26,-2.4,7.09,0.79,NA,0,0.08
89,GABON,7.97,0.39,8.7,3.34,2,0,0.33
90,GUYANA,-1.51,-3.64,8.22,3.01,0,0.08,0.51
91,MALAYSIA,0.52,3.69,8.33,3.26,4,1,0.37
